"date" "minterc"
"2002-10" 0
"2002-11" 0
"2002-12" 0
"2003-1" 0
"2003-2" 0
"2003-3" 0
"2003-4" 0
"2003-5" 0
"2003-6" 0.0397770926356316
"2003-7" 0.392456233501434
"2003-8" 0.450098305940628
"2003-9" 0.0167659651488066
"2003-10" 8.84282371771405e-07
"2003-11" 0
"2003-12" 0
"2004-1" 0
"2004-2" 0
"2004-3" 0
"2004-4" 0
"2004-5" 0
"2004-6" 0.028974050655961
"2004-7" 0.490913897752762
"2004-8" 0.12248919904232
"2004-9" 0.427857905626297
"2004-10" 0
"2004-11" 0
"2004-12" 0
"2005-1" 0
"2005-2" 0
"2005-3" 0
"2005-4" 0
"2005-5" 0
"2005-6" 0.0454638116061687
"2005-7" 0.308630585670471
"2005-8" 0.281620025634766
"2005-9" 0.0730436146259308
"2005-10" 0
"2005-11" 0
"2005-12" 0
"2006-1" 0
"2006-2" 0
"2006-3" 0
"2006-4" 0
"2006-5" 0
"2006-6" 0.076855257153511
"2006-7" 0.280982434749603
"2006-8" 0.475211352109909
"2006-9" 0.144715130329132
"2006-10" 0
"2006-11" 0
"2006-12" 0
"2007-1" 0
"2007-2" 0
"2007-3" 0
"2007-4" 0
"2007-5" 0
"2007-6" 0.0182575453072786
"2007-7" 0.335680902004242
"2007-8" 0.475468248128891
"2007-9" 0.0866443365812302
"2007-10" 0
"2007-11" 0
"2007-12" 0
"2008-1" 0
"2008-2" 0
"2008-3" 0
"2008-4" 0
"2008-5" 0
"2008-6" 0.0761320218443871
"2008-7" 0.214472532272339
"2008-8" 0.178426831960678
"2008-9" 0.119739785790443
"2008-10" 0
"2008-11" 0
"2008-12" 0
"2009-1" 0
"2009-2" 0
"2009-3" 0
"2009-4" 0
"2009-5" 0
"2009-6" 0.0357477702200413
"2009-7" 0.483884334564209
"2009-8" 0.415571928024292
"2009-9" 0.252746522426605
"2009-10" 5.14151579409372e-05
"2009-11" 0
"2009-12" 0
"2010-1" 0
"2010-2" 0
"2010-3" 0
"2010-4" 0
"2010-5" 0
"2010-6" 0.140268459916115
"2010-7" 0.593230903148651
"2010-8" 0.452750623226166
"2010-9" 0.131519630551338
"2010-10" 0
"2010-11" 0
"2010-12" 0
"2011-1" 0
"2011-2" 0
"2011-3" 0
"2011-4" 0
"2011-5" 0
"2011-6" 0.0690902844071388
"2011-7" 0.658359825611115
"2011-8" 0.27768474817276
"2011-9" 0.197861447930336
"2011-10" 7.65958429838065e-06
"2011-11" 0
"2011-12" 0
