"date" "vegc"
"1982-1" 134.234588623047
"1983-1" 136.871627807617
"1984-1" 152.119979858398
"1985-1" 185.358764648438
"1986-1" 202.50276184082
"1987-1" 180.601959228516
"1988-1" 164.50114440918
"1989-1" 133.563735961914
"1990-1" 147.02067565918
"1991-1" 138.672119140625
"1992-1" 133.147354125977
"1993-1" 136.170059204102
"1994-1" 125.400978088379
"1995-1" 135.646835327148
"1996-1" 138.109771728516
"1997-1" 149.801483154297
"1998-1" 168.644226074219
"1999-1" 156.690322875977
"2000-1" 175.041809082031
"2001-1" 173.170349121094
"2002-1" 178.3154296875
"2003-1" 172.644454956055
"2004-1" 160.300033569336
"2005-1" 157.861236572266
"2006-1" 150.103958129883
"2007-1" 153.755142211914
"2008-1" 152.017562866211
"2009-1" 167.470474243164
"2010-1" 168.71354675293
"2011-1" 176.810073852539
