"date" "vegc"
"1982-1" 3169.94067382812
"1983-1" 3008.9794921875
"1984-1" 3120.45239257812
"1985-1" 3266.50317382812
"1986-1" 3269.27783203125
"1987-1" 3288.65185546875
"1988-1" 3377.947265625
"1989-1" 3325.76391601562
"1990-1" 3240.22412109375
"1991-1" 3240.009765625
"1992-1" 3329.60913085938
"1993-1" 3400.52661132812
"1994-1" 3448.52221679688
"1995-1" 3457.98266601562
"1996-1" 3390.58032226562
"1997-1" 3256.12841796875
"1998-1" 3162.1904296875
"1999-1" 3164.34619140625
"2000-1" 3143.15112304688
"2001-1" 3185.4296875
"2002-1" 3209.96044921875
"2003-1" 3300.6220703125
"2004-1" 3329.13720703125
"2005-1" 3215.63061523438
"2006-1" 3161.52563476562
"2007-1" 3186.57348632812
"2008-1" 3288.87451171875
"2009-1" 3319.57763671875
"2010-1" 3384.83642578125
"2011-1" 3453.59692382812
