"date" "minterc"
"1982-1" 0.460058063268661
"1982-2" 0.179034188389778
"1982-3" 1.08940470218658
"1982-4" 0.0656706020236015
"1982-5" 4.91865682601929
"1982-6" 4.31171989440918
"1982-7" 4.0841851234436
"1982-8" 7.84588432312012
"1982-9" 9.4973726272583
"1982-10" 6.99456596374512
"1982-11" 1.24620914459229
"1982-12" 0
"1983-1" 0.01697195507586
"1983-2" 0
"1983-3" 0
"1983-4" 0.00423431303352118
"1983-5" 3.14596152305603
"1983-6" 6.21430158615112
"1983-7" 5.18617248535156
"1983-8" 7.76347494125366
"1983-9" 7.88063478469849
"1983-10" 3.22131896018982
"1983-11" 0.634145498275757
"1983-12" 0
"1984-1" 0.00657977955415845
"1984-2" 0
"1984-3" 0.156144171953201
"1984-4" 0.417897254228592
"1984-5" 1.83003401756287
"1984-6" 3.16314816474915
"1984-7" 3.82487034797668
"1984-8" 2.98207306861877
"1984-9" 2.711590051651
"1984-10" 0.664401471614838
"1984-11" 1.44575488567352
"1984-12" 0
"1985-1" 0.0676742568612099
"1985-2" 0
"1985-3" 0.649720013141632
"1985-4" 1.06931507587433
"1985-5" 2.43552398681641
"1985-6" 2.16199469566345
"1985-7" 4.98948001861572
"1985-8" 4.59621667861938
"1985-9" 4.11505746841431
"1985-10" 2.33690404891968
"1985-11" 1.07292246818542
"1985-12" 0.0107655581086874
"1986-1" 0.0127329574897885
"1986-2" 0.256348252296448
"1986-3" 0.570643723011017
"1986-4" 0.334486335515976
"1986-5" 1.22673881053925
"1986-6" 5.10333585739136
"1986-7" 6.48720693588257
"1986-8" 3.18484663963318
"1986-9" 8.17388343811035
"1986-10" 3.27287125587463
"1986-11" 0.188725873827934
"1986-12" 0.0127085279673338
"1987-1" 0.0129832336679101
"1987-2" 0
"1987-3" 0.275146394968033
"1987-4" 1.46594882011414
"1987-5" 1.96374809741974
"1987-6" 6.2796106338501
"1987-7" 4.23669862747192
"1987-8" 5.63783836364746
"1987-9" 6.66862440109253
"1987-10" 3.31799578666687
"1987-11" 0.0548184737563133
"1987-12" 0.0329838283360004
"1988-1" 0.230024844408035
"1988-2" 0.0245969593524933
"1988-3" 1.52641344070435
"1988-4" 0.690821886062622
"1988-5" 3.19857382774353
"1988-6" 3.86696672439575
"1988-7" 4.44278526306152
"1988-8" 5.91452217102051
"1988-9" 7.4002513885498
"1988-10" 2.66478729248047
"1988-11" 0.551929593086243
"1988-12" 0.280746966600418
"1989-1" 0.0158063806593418
"1989-2" 0
"1989-3" 0
"1989-4" 0.645180284976959
"1989-5" 4.74393320083618
"1989-6" 5.22325325012207
"1989-7" 6.69839954376221
"1989-8" 7.48078584671021
"1989-9" 8.88534545898438
"1989-10" 4.64234638214111
"1989-11" 0.633932292461395
"1989-12" 0
"1990-1" 0.27317276597023
"1990-2" 0
"1990-3" 0.0462978221476078
"1990-4" 0.648168861865997
"1990-5" 2.12206768989563
"1990-6" 5.36760330200195
"1990-7" 4.3016209602356
"1990-8" 7.82111978530884
"1990-9" 3.51377391815186
"1990-10" 4.05314970016479
"1990-11" 0.595272421836853
"1990-12" 0.195653766393661
"1991-1" 0.180092975497246
"1991-2" 0.117222018539906
"1991-3" 0.25652739405632
"1991-4" 0.861554443836212
"1991-5" 2.49830436706543
"1991-6" 6.38906192779541
"1991-7" 5.65689992904663
"1991-8" 5.79079341888428
"1991-9" 4.87473392486572
"1991-10" 6.66323661804199
"1991-11" 0.574654161930084
"1991-12" 0.0136566674336791
"1992-1" 0.00999849662184715
"1992-2" 0
"1992-3" 0.121111273765564
"1992-4" 2.40888810157776
"1992-5" 2.66331243515015
"1992-6" 5.25864791870117
"1992-7" 7.11009502410889
"1992-8" 7.52349519729614
"1992-9" 4.27062273025513
"1992-10" 6.56651067733765
"1992-11" 0.189138531684875
"1992-12" 0
"1993-1" 0
"1993-2" 0.0295191556215286
"1993-3" 0.232277572154999
"1993-4" 3.95989751815796
"1993-5" 3.85345792770386
"1993-6" 7.31078481674194
"1993-7" 7.29438495635986
"1993-8" 8.35110378265381
"1993-9" 5.65227508544922
"1993-10" 3.98650431632996
"1993-11" 1.72083497047424
"1993-12" 0.246931999921799
"1994-1" 0.121183343231678
"1994-2" 0
"1994-3" 0.0679603219032288
"1994-4" 1.14930713176727
"1994-5" 4.55277729034424
"1994-6" 9.50653457641602
"1994-7" 7.16596412658691
"1994-8" 8.64049625396729
"1994-9" 4.83488368988037
"1994-10" 2.92351317405701
"1994-11" 4.04369688034058
"1994-12" 0.0173494946211576
"1995-1" 0.218863606452942
"1995-2" 0.283480912446976
"1995-3" 2.49663329124451
"1995-4" 1.87526679039001
"1995-5" 4.5126781463623
"1995-6" 3.08564043045044
"1995-7" 13.3744955062866
"1995-8" 5.05884838104248
"1995-9" 8.44100952148438
"1995-10" 5.23119401931763
"1995-11" 0
"1995-12" 0
"1996-1" 0.0481415987014771
"1996-2" 0
"1996-3" 0
"1996-4" 2.043044090271
"1996-5" 5.05632066726685
"1996-6" 4.77771425247192
"1996-7" 9.80144691467285
"1996-8" 5.42725133895874
"1996-9" 8.49178981781006
"1996-10" 7.71476221084595
"1996-11" 1.01303744316101
"1996-12" 0.0111947059631348
"1997-1" 0.118157394230366
"1997-2" 0.108075886964798
"1997-3" 0.106110572814941
"1997-4" 2.64097428321838
"1997-5" 1.72778141498566
"1997-6" 6.25730085372925
"1997-7" 7.43786764144897
"1997-8" 7.24294805526733
"1997-9" 6.42483568191528
"1997-10" 7.18870210647583
"1997-11" 0.84453409910202
"1997-12" 0
"1998-1" 0.0838233977556229
