"date" "mrh"
"1982-1" 12.1382741928101
"1982-2" 10.3930473327637
"1982-3" 11.4532117843628
"1982-4" 11.1152667999268
"1982-5" 11.5233001708984
"1982-6" 11.1872396469116
"1982-7" 11.5980358123779
"1982-8" 11.6332674026489
"1982-9" 11.2931108474731
"1982-10" 11.7049646377563
"1982-11" 11.3604898452759
"1982-12" 11.412015914917
"1983-1" 12.6515331268311
"1983-2" 10.8714914321899
"1983-3" 11.9647302627563
"1983-4" 11.5867748260498
"1983-5" 11.9866104125977
"1983-6" 11.6129999160767
"1983-7" 12.0149364471436
"1983-8" 12.0273885726929
"1983-9" 11.6532697677612
"1983-10" 12.0557050704956
"1983-11" 11.6796569824219
"1983-12" 11.7513160705566
"1984-1" 12.610538482666
"1984-2" 10.793288230896
"1984-3" 11.8201875686646
"1984-4" 11.3899364471436
"1984-5" 11.7255697250366
"1984-6" 11.3058958053589
"1984-7" 11.6425447463989
"1984-8" 11.6009502410889
"1984-9" 11.1897792816162
"1984-10" 11.5255117416382
"1984-11" 11.1181602478027
"1984-12" 11.157395362854
"1985-1" 10.9558849334717
"1985-2" 9.43000221252441
"1985-3" 10.3709096908569
"1985-4" 10.0313758850098
"1985-5" 10.3647632598877
"1985-6" 10.0296068191528
"1985-7" 10.3645677566528
"1985-8" 10.363450050354
"1985-9" 10.0298175811768
"1985-10" 10.3648023605347
"1985-11" 10.0308208465576
"1985-12" 10.0878467559814
"1986-1" 10.1705303192139
"1986-2" 8.88668537139893
"1986-3" 9.8234691619873
"1986-4" 9.53718376159668
"1986-5" 9.88911437988281
"1986-6" 9.60235404968262
"1986-7" 9.95601844787598
"1986-8" 9.98743438720703
"1986-9" 9.69630241394043
"1986-10" 10.0507936477661
"1986-11" 9.75588417053223
"1986-12" 9.86804485321045
"1987-1" 9.98302555084229
"1987-2" 8.69143581390381
"1987-3" 9.62242984771729
"1987-4" 9.36098289489746
"1987-5" 9.72571182250977
"1987-6" 9.46187305450439
"1987-7" 9.82884216308594
"1987-8" 9.87785053253174
"1987-9" 9.60684394836426
"1987-10" 9.97508239746094
"1987-11" 9.69843196868896
"1987-12" 9.80222511291504
"1988-1" 11.1443500518799
"1988-2" 9.5190954208374
"1988-3" 10.4794216156006
"1988-4" 10.1600360870361
"1988-5" 10.5227270126343
"1988-6" 10.2061395645142
"1988-7" 10.57115650177
"1988-8" 10.5937328338623
"1988-9" 10.2749824523926
"1988-10" 10.6406440734863
"1988-11" 10.3189907073975
"1988-12" 10.3538961410522
"1989-1" 10.6618461608887
"1989-2" 9.37539291381836
"1989-3" 10.3760251998901
"1989-4" 10.0755891799927
"1989-5" 10.4487247467041
"1989-6" 10.1470041275024
"1989-7" 10.5219631195068
"1989-8" 10.5563364028931
"1989-9" 10.24977684021
"1989-10" 10.6256771087646
"1989-11" 10.3149919509888
"1989-12" 10.4809446334839
"1990-1" 10.8343152999878
"1990-2" 9.37972450256348
"1990-3" 10.3732557296753
"1990-4" 10.0874462127686
"1990-5" 10.4771165847778
"1990-6" 10.1897411346436
"1990-7" 10.5818204879761
"1990-8" 10.6314706802368
"1990-9" 10.3369760513306
"1990-10" 10.730393409729
"1990-11" 10.4301490783691
"1990-12" 10.5229740142822
"1991-1" 11.7448921203613
"1991-2" 10.0875253677368
"1991-3" 11.1077699661255
"1991-4" 10.7652215957642
"1991-5" 11.1453342437744
"1991-6" 10.8061494827271
"1991-7" 11.1882448196411
"1991-8" 11.2078199386597
"1991-9" 10.8665962219238
"1991-10" 11.2493000030518
"1991-11" 10.9054460525513
"1991-12" 10.9662075042725
"1992-1" 11.0959320068359
"1992-2" 9.63347434997559
"1992-3" 10.6349115371704
"1992-4" 10.320387840271
"1992-5" 10.6972370147705
"1992-6" 10.3833341598511
"1992-7" 10.7623043060303
"1992-8" 10.7927675247192
"1992-9" 10.4750280380249
"1992-10" 10.8548555374146
"1992-11" 10.5333766937256
"1992-12" 10.639612197876
"1993-1" 11.0313520431519
"1993-2" 9.70167255401611
"1993-3" 10.7393264770508
"1993-4" 10.4318809509277
"1993-5" 10.8217620849609
"1993-6" 10.5126209259033
"1993-7" 10.9044733047485
"1993-8" 10.9433517456055
"1993-9" 10.6286649703979
"1993-10" 11.0215940475464
"1993-11" 10.7022733688354
"1993-12" 10.8770151138306
"1994-1" 11.1009130477905
"1994-2" 9.75619983673096
"1994-3" 10.8039331436157
"1994-4" 10.5028266906738
"1994-5" 10.9038372039795
"1994-6" 10.6005954742432
"1994-7" 11.0036783218384
"1994-8" 11.0506820678711
"1994-9" 10.7401933670044
"1994-10" 11.1445655822754
"1994-11" 10.8285655975342
"1994-12" 11.0044221878052
"1995-1" 11.3257274627686
"1995-2" 9.86292934417725
"1995-3" 10.919807434082
"1995-4" 10.6211957931519
"1995-5" 11.0333833694458
"1995-6" 10.7325525283813
"1995-7" 11.1472730636597
"1995-8" 11.2013244628906
"1995-9" 10.8926610946655
"1995-10" 11.30885887146
"1995-11" 10.9939498901367
"1995-12" 11.1195421218872
"1996-1" 11.4697771072388
"1996-2" 9.92387199401855
"1996-3" 10.978138923645
"1996-4" 10.6768417358398
"1996-5" 11.0868167877197
"1996-6" 10.780330657959
"1996-7" 11.1912536621094
"1996-8" 11.2400741577148
"1996-9" 10.9251852035522
"1996-10" 11.3374519348145
"1996-11" 11.0168724060059
"1996-12" 11.2887115478516
"1997-1" 12.6902837753296
"1997-2" 10.7948141098022
"1997-3" 11.8811082839966
"1997-4" 11.5295171737671
"1997-5" 11.9468069076538
"1997-6" 11.5926542282104
"1997-7" 12.010573387146
