"date" "mtransp"
"1982-1" 12.0678730010986
"1982-2" 27.1230945587158
"1982-3" 25.2567157745361
"1982-4" 17.4924011230469
"1982-5" 57.0974388122559
"1982-6" 70.4409790039062
"1982-7" 59.7662925720215
"1982-8" 62.7476692199707
"1982-9" 64.7508926391602
"1982-10" 67.2257843017578
"1982-11" 64.0587387084961
"1982-12" 22.2896137237549
"1983-1" 12.1529560089111
"1983-2" 8.26804256439209
"1983-3" 6.77279138565063
"1983-4" 5.40008211135864
"1983-5" 42.3699684143066
"1983-6" 46.5061187744141
"1983-7" 45.686450958252
"1983-8" 48.1567497253418
"1983-9" 54.5940437316895
"1983-10" 61.9482536315918
"1983-11" 57.8155899047852
"1983-12" 18.9241981506348
"1984-1" 8.4505786895752
"1984-2" 5.76460599899292
"1984-3" 12.92799949646
"1984-4" 25.5366897583008
"1984-5" 35.8696937561035
"1984-6" 40.1641082763672
"1984-7" 38.3589973449707
"1984-8" 40.8778381347656
"1984-9" 44.4973678588867
"1984-10" 44.3402328491211
"1984-11" 44.2962875366211
"1984-12" 20.4509944915771
"1985-1" 14.5976533889771
"1985-2" 9.75825786590576
"1985-3" 26.519359588623
"1985-4" 35.672046661377
"1985-5" 43.8019027709961
"1985-6" 45.6125373840332
"1985-7" 39.7778778076172
"1985-8" 45.3975028991699
"1985-9" 44.2227554321289
"1985-10" 53.2820243835449
"1985-11" 49.2770843505859
"1985-12" 32.6957855224609
"1986-1" 14.0964508056641
"1986-2" 19.2983531951904
"1986-3" 29.3000087738037
"1986-4" 20.1004371643066
"1986-5" 40.6165809631348
"1986-6" 54.3235511779785
"1986-7" 52.3679008483887
"1986-8" 59.5040969848633
"1986-9" 55.5282135009766
"1986-10" 61.1384582519531
"1986-11" 45.2309722900391
"1986-12" 17.1358318328857
"1987-1" 11.0204372406006
"1987-2" 7.28243446350098
"1987-3" 15.5934772491455
"1987-4" 48.6245918273926
"1987-5" 48.7602729797363
"1987-6" 56.6682395935059
"1987-7" 62.4901275634766
"1987-8" 60.3801918029785
"1987-9" 59.5755004882812
"1987-10" 66.5163803100586
"1987-11" 43.5800399780273
"1987-12" 16.876932144165
"1988-1" 20.7232074737549
"1988-2" 9.01176929473877
"1988-3" 39.5068244934082
"1988-4" 41.875431060791
"1988-5" 45.2728462219238
"1988-6" 58.6109313964844
"1988-7" 57.1271858215332
"1988-8" 53.466724395752
"1988-9" 49.9146423339844
"1988-10" 64.0827789306641
"1988-11" 42.9912261962891
"1988-12" 26.8294639587402
"1989-1" 13.7707719802856
"1989-2" 7.34069871902466
"1989-3" 6.37412881851196
"1989-4" 21.2728118896484
"1989-5" 44.1892929077148
"1989-6" 60.2076606750488
"1989-7" 54.1577415466309
"1989-8" 53.498706817627
"1989-9" 63.163875579834
"1989-10" 72.4086303710938
"1989-11" 58.1935920715332
"1989-12" 20.332820892334
"1990-1" 22.0840587615967
"1990-2" 9.18718433380127
"1990-3" 8.81094837188721
"1990-4" 25.951789855957
"1990-5" 41.6479072570801
"1990-6" 60.4553909301758
"1990-7" 51.5109405517578
"1990-8" 55.1370239257812
"1990-9" 57.8859901428223
"1990-10" 65.2686080932617
"1990-11" 57.8523139953613
"1990-12" 28.8428611755371
"1991-1" 10.6885404586792
"1991-2" 18.3112964630127
"1991-3" 15.5410842895508
"1991-4" 30.0185489654541
"1991-5" 41.6266479492188
"1991-6" 57.5505485534668
"1991-7" 51.4235382080078
"1991-8" 51.8067359924316
"1991-9" 58.2286109924316
"1991-10" 57.4641723632812
"1991-11" 58.1088256835938
"1991-12" 20.4260711669922
"1992-1" 12.8416166305542
"1992-2" 7.78224563598633
"1992-3" 12.1249685287476
"1992-4" 51.2313613891602
"1992-5" 53.5828094482422
"1992-6" 55.1078834533691
"1992-7" 53.1718597412109
"1992-8" 47.464900970459
"1992-9" 59.6133193969727
"1992-10" 60.1590347290039
"1992-11" 55.0614280700684
"1992-12" 20.6581478118896
"1993-1" 12.6426792144775
"1993-2" 9.06726455688477
"1993-3" 15.3358736038208
"1993-4" 43.2524452209473
"1993-5" 55.1074638366699
"1993-6" 60.0290374755859
"1993-7" 56.8708610534668
"1993-8" 61.4232902526855
"1993-9" 66.5160522460938
"1993-10" 69.3364105224609
"1993-11" 54.9477996826172
"1993-12" 24.7499523162842
"1994-1" 18.7030849456787
"1994-2" 8.73336124420166
"1994-3" 9.15083885192871
"1994-4" 21.1850204467773
"1994-5" 56.2766876220703
"1994-6" 56.4652099609375
"1994-7" 59.4820671081543
"1994-8" 56.1474761962891
"1994-9" 67.1669692993164
"1994-10" 69.6651916503906
"1994-11" 64.1276779174805
"1994-12" 25.9598274230957
"1995-1" 20.8181228637695
"1995-2" 18.9808788299561
"1995-3" 27.6169452667236
"1995-4" 70.4145965576172
"1995-5" 47.9531707763672
"1995-6" 64.8377838134766
"1995-7" 55.1829681396484
"1995-8" 57.288330078125
"1995-9" 65.6379318237305
"1995-10" 64.9609756469727
"1995-11" 55.724681854248
"1995-12" 20.3711738586426
"1996-1" 14.2331829071045
"1996-2" 8.11497020721436
"1996-3" 6.93657493591309
"1996-4" 33.5994911193848
"1996-5" 55.7028427124023
"1996-6" 62.1761283874512
"1996-7" 59.8517303466797
"1996-8" 66.9682083129883
"1996-9" 62.0911254882812
"1996-10" 70.982307434082
"1996-11" 62.2607040405273
"1996-12" 21.3758411407471
"1997-1" 16.0709972381592
"1997-2" 11.7451972961426
"1997-3" 9.50030994415283
"1997-4" 39.5329322814941
"1997-5" 37.5048408508301
"1997-6" 61.7392768859863
"1997-7" 59.3973960876465
