"date" "vegc"
"1982-1" 3412.58056640625
"1983-1" 3240.23583984375
"1984-1" 3361.17749023438
"1985-1" 3524.07299804688
"1986-1" 3541.40795898438
"1987-1" 3555.17846679688
"1988-1" 3662.40502929688
"1989-1" 3658.67919921875
"1990-1" 3561.39672851562
"1991-1" 3522.68334960938
"1992-1" 3618.22509765625
"1993-1" 3678.22583007812
"1994-1" 3731.07739257812
"1995-1" 3761.07250976562
"1996-1" 3680.67114257812
"1997-1" 3528.9365234375
"1998-1" 3416.36791992188
"1999-1" 3427.681640625
"2000-1" 3427.46704101562
"2001-1" 3457.20043945312
"2002-1" 3485.62744140625
"2003-1" 3568.61059570312
"2004-1" 3578.09497070312
"2005-1" 3464.826171875
"2006-1" 3430.43872070312
"2007-1" 3365.46337890625
"2008-1" 3456.35205078125
"2009-1" 3501.7880859375
"2010-1" 3583.55200195312
"2011-1" 3648.46411132812
