"date" "mfapar"
"1982-1" 0.208053946495056
"1982-2" 0.196955516934395
"1982-3" 0.186211794614792
"1982-4" 0.135630831122398
"1982-5" 0.11702299118042
"1982-6" 0.0786513388156891
"1982-7" 0.0622278489172459
"1982-8" 0.107870846986771
"1982-9" 0.172953486442566
"1982-10" 0.216574311256409
"1982-11" 0.210809648036957
"1982-12" 0.202392503619194
"1983-1" 0.105018422007561
"1983-2" 0.119826599955559
"1983-3" 0.122147120535374
"1983-4" 0.0939421355724335
"1983-5" 0.0666863173246384
"1983-6" 0.0439158193767071
"1983-7" 0.0505776591598988
"1983-8" 0.0795558243989944
"1983-9" 0.102447398006916
"1983-10" 0.134747490286827
"1983-11" 0.1552944034338
"1983-12" 0.161568000912666
"1984-1" 0.209565252065659
"1984-2" 0.209204062819481
"1984-3" 0.194816991686821
"1984-4" 0.14468377828598
"1984-5" 0.104609854519367
"1984-6" 0.105623707175255
"1984-7" 0.130869939923286
"1984-8" 0.153550431132317
"1984-9" 0.17799086868763
"1984-10" 0.207654371857643
"1984-11" 0.223642289638519
"1984-12" 0.225253731012344
"1985-1" 0.373614728450775
"1985-2" 0.36221644282341
"1985-3" 0.347762554883957
"1985-4" 0.267390102148056
"1985-5" 0.193463012576103
"1985-6" 0.143721133470535
"1985-7" 0.139872416853905
"1985-8" 0.166191011667252
"1985-9" 0.190742358565331
"1985-10" 0.256872326135635
"1985-11" 0.310964226722717
"1985-12" 0.313725054264069
"1986-1" 0.242268979549408
"1986-2" 0.181629598140717
"1986-3" 0.14035165309906
"1986-4" 0.100152418017387
"1986-5" 0.0717282369732857
"1986-6" 0.0908229947090149
"1986-7" 0.149312555789948
"1986-8" 0.196418046951294
"1986-9" 0.233117535710335
"1986-10" 0.29886257648468
"1986-11" 0.316476076841354
"1986-12" 0.321429818868637
"1987-1" 0.243971973657608
"1987-2" 0.248797699809074
"1987-3" 0.210542649030685
"1987-4" 0.174026668071747
"1987-5" 0.172515377402306
"1987-6" 0.141186162829399
"1987-7" 0.131816014647484
"1987-8" 0.167289510369301
"1987-9" 0.20992012321949
"1987-10" 0.251889705657959
"1987-11" 0.24239793419838
"1987-12" 0.181804060935974
"1988-1" 0.168189182877541
"1988-2" 0.126925259828568
"1988-3" 0.0957716628909111
"1988-4" 0.0692831501364708
"1988-5" 0.0574764236807823
"1988-6" 0.0472525432705879
"1988-7" 0.100080691277981
"1988-8" 0.171726301312447
"1988-9" 0.231276586651802
"1988-10" 0.259212493896484
"1988-11" 0.266693621873856
"1988-12" 0.219169467687607
"1989-1" 0.139195784926414
"1989-2" 0.136509284377098
"1989-3" 0.138150081038475
"1989-4" 0.107765510678291
"1989-5" 0.0696881785988808
"1989-6" 0.044952031224966
"1989-7" 0.0477115660905838
"1989-8" 0.0949506685137749
"1989-9" 0.128915622830391
"1989-10" 0.132688418030739
"1989-11" 0.165649279952049
"1989-12" 0.183149516582489
"1990-1" 0.162319228053093
"1990-2" 0.145352512598038
"1990-3" 0.122410818934441
"1990-4" 0.0953480377793312
"1990-5" 0.0704797506332397
"1990-6" 0.0507623516023159
"1990-7" 0.0612842813134193
"1990-8" 0.0989445075392723
"1990-9" 0.129352852702141
"1990-10" 0.160187125205994
"1990-11" 0.180887743830681
"1990-12" 0.188823819160461
"1991-1" 0.266821503639221
"1991-2" 0.265755206346512
"1991-3" 0.243641510605812
"1991-4" 0.182047411799431
"1991-5" 0.130517810583115
"1991-6" 0.0935326442122459
"1991-7" 0.0967752486467361
"1991-8" 0.14508780837059
"1991-9" 0.191323712468147
"1991-10" 0.229991853237152
"1991-11" 0.231163412332535
"1991-12" 0.241978988051414
"1992-1" 0.326618045568466
"1992-2" 0.33545982837677
"1992-3" 0.340022087097168
"1992-4" 0.273647725582123
"1992-5" 0.225169792771339
"1992-6" 0.171368524432182
"1992-7" 0.123261250555515
"1992-8" 0.158064156770706
"1992-9" 0.197697043418884
"1992-10" 0.236590728163719
"1992-11" 0.247502043843269
"1992-12" 0.244233280420303
"1993-1" 0.293580561876297
"1993-2" 0.295814752578735
"1993-3" 0.229434564709663
"1993-4" 0.164189830422401
"1993-5" 0.113222077488899
"1993-6" 0.0761663466691971
"1993-7" 0.0895271152257919
"1993-8" 0.156684160232544
"1993-9" 0.234116762876511
"1993-10" 0.291918635368347
"1993-11" 0.323418885469437
"1993-12" 0.305783599615097
"1994-1" 0.222062170505524
"1994-2" 0.190346390008926
"1994-3" 0.159335374832153
"1994-4" 0.133906960487366
"1994-5" 0.0952595993876457
"1994-6" 0.0860918909311295
"1994-7" 0.0778668373823166
"1994-8" 0.102545410394669
"1994-9" 0.160778298974037
"1994-10" 0.192525163292885
"1994-11" 0.197875529527664
"1994-12" 0.201362922787666
"1995-1" 0.0812573209404945
"1995-2" 0.0623174458742142
"1995-3" 0.0526554882526398
"1995-4" 0.0401021018624306
"1995-5" 0.0291301198303699
"1995-6" 0.0238652192056179
"1995-7" 0.0407010912895203
"1995-8" 0.0610861219465733
"1995-9" 0.0940680205821991
"1995-10" 0.123959511518478
"1995-11" 0.143610790371895
"1995-12" 0.151680141687393
"1996-1" 0.154952570796013
"1996-2" 0.136381775140762
"1996-3" 0.103237487375736
"1996-4" 0.0736791417002678
"1996-5" 0.0511419139802456
"1996-6" 0.0471854247152805
"1996-7" 0.0644124746322632
"1996-8" 0.0891721025109291
"1996-9" 0.109053187072277
"1996-10" 0.137223809957504
"1996-11" 0.155699118971825
"1996-12" 0.159625366330147
"1997-1" 0.203597262501717
"1997-2" 0.201680451631546
"1997-3" 0.179178833961487
