"date" "vegc"
"1982-1" 2936.158203125
"1983-1" 2730.86694335938
"1984-1" 2818.14135742188
"1985-1" 2982.53247070312
"1986-1" 3025.44018554688
"1987-1" 2945.59130859375
"1988-1" 3059.52172851562
"1989-1" 2973.79931640625
"1990-1" 2886.96508789062
"1991-1" 2851.00610351562
"1992-1" 2928.94995117188
"1993-1" 2987.03393554688
"1994-1" 3022.08642578125
"1995-1" 3062.26318359375
"1996-1" 2983.21704101562
"1997-1" 2836.09252929688
"1998-1" 2739.70947265625
"1999-1" 2754.92260742188
"2000-1" 2754.44750976562
"2001-1" 2788.3984375
"2002-1" 2841.57592773438
"2003-1" 2927.5244140625
"2004-1" 2920.34399414062
"2005-1" 2801.65869140625
"2006-1" 2801.09765625
"2007-1" 2816.27734375
"2008-1" 2916.73608398438
"2009-1" 2967.0615234375
"2010-1" 3058.99975585938
"2011-1" 3130.88159179688
