"date" "fpc NatStand" "fpc TrBE" "fpc TrBR" "fpc TeNE" "fpc TeBE" "fpc TeBS" "fpc BoNE" "fpc BoBS" "fpc BoNS" "fpc TrH" "fpc TeH" "fpc PoH"
"1982-1" 0.921000003814697 0.0899160584508323 0.687592666434085 0 0 0 0 0 0 7.60152511376684e-05 0 0
"1983-1" 0.917999982833862 0.0612510325481885 0.624872797725288 0 0 0 0 0 0 0.000122993163560042 0 0
"1984-1" 0.916999995708466 0.062444869293095 0.653641118805297 0 0 0 0 0 0 0.00010659163279662 0 0
"1985-1" 0.915000021457672 0.0697750592575956 0.690417392947651 0 0 0 0 0 0 8.1997481824398e-05 0 0
"1986-1" 0.913999974727631 0.0636109737897628 0.693342072866088 0 0 0 0 0 0 8.31736534449823e-05 0 0
"1987-1" 0.913999974727631 0.0596831520982555 0.699242872692629 0 0 0 0 0 0 8.21009388891816e-05 0 0
"1988-1" 0.91100001335144 0.0664525961780313 0.720973243729802 0 0 0 0 0 0 6.52272955950026e-05 0 0
"1989-1" 0.907000005245209 0.0629903650573804 0.709675793281495 0 0 0 0 0 0 7.10067690483786e-05 0 0
"1990-1" 0.902999997138977 0.0597737181080973 0.693349262722982 0 0 0 0 0 0 7.94392307536893e-05 0 0
"1991-1" 0.902999997138977 0.0601624614105818 0.698812350443234 0 0 0 0 0 0 7.62740550037857e-05 0 0
"1992-1" 0.902999997138977 0.0643910851226579 0.718597413945325 0 0 0 0 0 0 6.33803467964805e-05 0 0
"1993-1" 0.898000001907349 0.0691549919673395 0.73221726942613 0 0 0 0 0 0 5.08439006141441e-05 0 0
"1994-1" 0.897000014781952 0.0696537314359942 0.739441052760991 0 0 0 0 0 0 4.61726115287193e-05 0 0
"1995-1" 0.89300000667572 0.0713401119156165 0.73544238509173 0 0 0 0 0 0 4.52800615095661e-05 0 0
"1996-1" 0.89300000667572 0.0655997851552081 0.716130051482736 0 0 0 0 0 0 5.87625442958596e-05 0 0
"1997-1" 0.887000024318695 0.0598572247867568 0.689229321898814 0 0 0 0 0 0 7.31511986060912e-05 0 0
"1998-1" 0.881999969482422 0.054015559771301 0.669418002689099 0 0 0 0 0 0 8.43425502892459e-05 0 0
"1999-1" 0.880999982357025 0.0500688307205011 0.675805141087874 0 0 0 0 0 0 8.24644056922116e-05 0 0
"2000-1" 0.874000012874603 0.0516257957448827 0.676480428408688 0 0 0 0 0 0 7.74747071180374e-05 0 0
"2001-1" 0.870999991893768 0.0528930317642484 0.680490963563116 0 0 0 0 0 0 7.29943349625072e-05 0 0
"2002-1" 0.867999970912933 0.0526967809422754 0.677749523100918 0 0 0 0 0 0 7.29587129606689e-05 0 0
"2003-1" 0.865000009536743 0.0589856597578908 0.696180651412803 0 0 0 0 0 0 5.80477202162637e-05 0 0
"2004-1" 0.861999988555908 0.0590069018070061 0.695456356829141 0 0 0 0 0 0 5.68074798964167e-05 0 0
"2005-1" 0.860000014305115 0.052883655712499 0.669417504478346 0 0 0 0 0 0 7.30805782009876e-05 0 0
"2006-1" 0.860000014305115 0.051887068493969 0.66845345774562 0 0 0 0 0 0 7.41458750381412e-05 0 0
"2007-1" 0.860000014305115 0.0536595558360076 0.66892602364284 0 0 0 0 0 0 7.29197336965057e-05 0 0
"2008-1" 0.860000014305115 0.0599687866410896 0.689781409054824 0 0 0 0 0 0 5.82974007795273e-05 0 0
"2009-1" 0.860000014305115 0.061450021096995 0.689473439002704 0 0 0 0 0 0 5.76639281049413e-05 0 0
"2010-1" 0.860000014305115 0.0652313620271743 0.698332037620744 0 0 0 0 0 0 5.08596955934798e-05 0 0
"2011-1" 0.860000014305115 0.0674509262337395 0.708400269609278 0 0 0 0 0 0 4.42610818658941e-05 0 0
