"date" "mfapar"
"1982-1" 0.156857743859291
"1982-2" 0.467219561338425
"1982-3" 0.197373673319817
"1982-4" 0.398506611585617
"1982-5" 0.432535320520401
"1982-6" 0.680741310119629
"1982-7" 0.683713972568512
"1982-8" 0.680798709392548
"1982-9" 0.681353211402893
"1982-10" 0.681615173816681
"1982-11" 0.676363110542297
"1982-12" 0.5617835521698
"1983-1" 0.298674672842026
"1983-2" 0.106518320739269
"1983-3" 0.0647934377193451
"1983-4" 0.116506718099117
"1983-5" 0.435169488191605
"1983-6" 0.65815681219101
"1983-7" 0.659743964672089
"1983-8" 0.657665967941284
"1983-9" 0.657077670097351
"1983-10" 0.657875120639801
"1983-11" 0.655394375324249
"1983-12" 0.5780930519104
"1984-1" 0.164026901125908
"1984-2" 0.0738576427102089
"1984-3" 0.206447139382362
"1984-4" 0.463281989097595
"1984-5" 0.515966653823853
"1984-6" 0.570010304450989
"1984-7" 0.570600569248199
"1984-8" 0.570666372776031
"1984-9" 0.570367574691772
"1984-10" 0.572034418582916
"1984-11" 0.568385004997253
"1984-12" 0.48975732922554
"1985-1" 0.198897644877434
"1985-2" 0.266152232885361
"1985-3" 0.223897740244865
"1985-4" 0.575741946697235
"1985-5" 0.606651604175568
"1985-6" 0.606565773487091
"1985-7" 0.60372006893158
"1985-8" 0.605032026767731
"1985-9" 0.602560997009277
"1985-10" 0.604973912239075
"1985-11" 0.60318398475647
"1985-12" 0.599290430545807
"1986-1" 0.17297799885273
"1986-2" 0.362066835165024
"1986-3" 0.517185986042023
"1986-4" 0.319500982761383
"1986-5" 0.587665796279907
"1986-6" 0.651812791824341
"1986-7" 0.651564300060272
"1986-8" 0.650914132595062
"1986-9" 0.649401605129242
"1986-10" 0.650757014751434
"1986-11" 0.648429870605469
"1986-12" 0.453771501779556
"1987-1" 0.155566170811653
"1987-2" 0.121203802525997
"1987-3" 0.197619676589966
"1987-4" 0.619206249713898
"1987-5" 0.64466381072998
"1987-6" 0.650090754032135
"1987-7" 0.649486303329468
"1987-8" 0.646946251392365
"1987-9" 0.646640777587891
"1987-10" 0.647643744945526
"1987-11" 0.645648121833801
"1987-12" 0.400631904602051
"1988-1" 0.394602358341217
"1988-2" 0.161497697234154
"1988-3" 0.35615137219429
"1988-4" 0.648546695709229
"1988-5" 0.537472009658813
"1988-6" 0.648059487342834
"1988-7" 0.646532654762268
"1988-8" 0.645022511482239
"1988-9" 0.643599152565002
"1988-10" 0.647838830947876
"1988-11" 0.646362006664276
"1988-12" 0.570139348506927
"1989-1" 0.21245776116848
"1989-2" 0.0530228093266487
"1989-3" 0.050319466739893
"1989-4" 0.363884955644608
"1989-5" 0.57552045583725
"1989-6" 0.669228613376617
"1989-7" 0.671544194221497
"1989-8" 0.670030355453491
"1989-9" 0.671903550624847
"1989-10" 0.671233057975769
"1989-11" 0.670106172561646
"1989-12" 0.545835137367249
"1990-1" 0.336109220981598
"1990-2" 0.199501320719719
"1990-3" 0.148832693696022
"1990-4" 0.282259583473206
"1990-5" 0.461445808410645
"1990-6" 0.659106492996216
"1990-7" 0.661591589450836
"1990-8" 0.661181449890137
"1990-9" 0.661712884902954
"1990-10" 0.662259161472321
"1990-11" 0.661688804626465
"1990-12" 0.628814876079559
"1991-1" 0.124953664839268
"1991-2" 0.423365980386734
"1991-3" 0.343062192201614
"1991-4" 0.549326121807098
"1991-5" 0.610875487327576
"1991-6" 0.645723283290863
"1991-7" 0.646336674690247
"1991-8" 0.64399129152298
"1991-9" 0.646909117698669
"1991-10" 0.648347556591034
"1991-11" 0.646280467510223
"1991-12" 0.510941088199615
"1992-1" 0.259112894535065
"1992-2" 0.0505036041140556
"1992-3" 0.262775927782059
"1992-4" 0.480692982673645
"1992-5" 0.646639406681061
"1992-6" 0.646237432956696
"1992-7" 0.644395351409912
"1992-8" 0.642567038536072
"1992-9" 0.643841683864594
"1992-10" 0.645413875579834
"1992-11" 0.643192291259766
"1992-12" 0.576755046844482
"1993-1" 0.130584210157394
"1993-2" 0.0822702422738075
"1993-3" 0.305227220058441
"1993-4" 0.580466568470001
"1993-5" 0.663873970508575
"1993-6" 0.665654063224792
"1993-7" 0.665459156036377
"1993-8" 0.665314733982086
"1993-9" 0.66250091791153
"1993-10" 0.665283024311066
"1993-11" 0.666898369789124
"1993-12" 0.44985356926918
"1994-1" 0.451439291238785
"1994-2" 0.171280860900879
"1994-3" 0.168750315904617
"1994-4" 0.121362335979939
"1994-5" 0.642746031284332
"1994-6" 0.685214877128601
"1994-7" 0.680563271045685
"1994-8" 0.67739737033844
"1994-9" 0.678320050239563
"1994-10" 0.682672202587128
"1994-11" 0.679391860961914
"1994-12" 0.582819879055023
"1995-1" 0.290567606687546
"1995-2" 0.358027011156082
"1995-3" 0.168529704213142
"1995-4" 0.645849645137787
"1995-5" 0.692818343639374
"1995-6" 0.691637873649597
"1995-7" 0.68768298625946
"1995-8" 0.68777060508728
"1995-9" 0.687800228595734
"1995-10" 0.69075483083725
"1995-11" 0.688243806362152
"1995-12" 0.506455421447754
"1996-1" 0.262155711650848
"1996-2" 0.0671041011810303
"1996-3" 0.0578355044126511
"1996-4" 0.201472580432892
"1996-5" 0.67773848772049
"1996-6" 0.696291029453278
"1996-7" 0.695612668991089
"1996-8" 0.69353860616684
"1996-9" 0.695354640483856
"1996-10" 0.698854804039001
"1996-11" 0.694737195968628
"1996-12" 0.517866432666779
"1997-1" 0.315641403198242
"1997-2" 0.278023481369019
"1997-3" 0.141104429960251
"1997-4" 0.506343364715576
"1997-5" 0.671059727668762
