,gpp,nbp,fpc BoNS,fpc TeH,vegc
gpp,1.0,-0.43971980279892486,0.17953717101047753,-0.23035774494895236,0.966090549337797
nbp,-0.43971980279892486,1.0,0.3088707415310383,-0.04533533892932477,-0.405102718326097
fpc BoNS,0.17953717101047753,0.3088707415310383,1.0,-0.28472999141568106,0.2190671686819779
fpc TeH,-0.23035774494895236,-0.04533533892932477,-0.28472999141568106,1.0,-0.20766856105321743
vegc,0.966090549337797,-0.405102718326097,0.2190671686819779,-0.20766856105321743,1.0
