,gpp,nbp,fpc TeBE,fpc TeH,vegc
gpp,1.0,0.899532674475938,0.5743610593131484,0.7701994712470571,0.9823520073415916
nbp,0.899532674475938,1.0,0.5411945530747002,0.7909278638875437,0.9277419806146628
fpc TeBE,0.5743610593131484,0.5411945530747002,1.0,0.3761480268265129,0.6000909175984859
fpc TeH,0.7701994712470571,0.7909278638875437,0.3761480268265129,1.0,0.7930872736933132
vegc,0.9823520073415916,0.9277419806146628,0.6000909175984859,0.7930872736933132,1.0
