,gpp,nbp,fpc TeBE,fpc TeH,vegc
gpp,1.0,0.9459989536754932,0.8123972300022009,-0.2584393050929019,0.8244938916461111
nbp,0.9459989536754932,1.0,0.6546020433983276,-0.017782425546202685,0.6875188324153132
fpc TeBE,0.8123972300022009,0.6546020433983276,1.0,-0.5358813051402547,0.9152340153387728
fpc TeH,-0.2584393050929019,-0.017782425546202685,-0.5358813051402547,1.0,-0.6067810043367319
vegc,0.8244938916461111,0.6875188324153132,0.9152340153387728,-0.6067810043367319,1.0
