date,mevap,mtransp,mnpp,mrh,mgpp,mfapar,mswc1,met,mnee
1982-01-01,0.12327405065298101,2.2794177532196,-2.15777468681335,2.4401679039001496,7.09160280227661,0.20805394649505604,0.233753845095634,2.402691803872581,4.597942590713499
1982-02-01,4.00753593444824,8.142932891845701,11.0009355545044,2.9032139778137203,22.1895809173584,0.19695551693439498,0.33124929666519204,12.150468826293942,-8.09772157669068
1982-03-01,0.852555692195892,3.87283730506897,-1.9392822980880702,3.4606809616088903,8.957743644714359,0.18621179461479198,0.261054277420044,4.725392997264862,5.3999632596969604
1982-04-01,0.256746828556061,1.47724401950836,-3.20699405670166,3.91577982902527,0.144166395068169,0.13563083112239802,0.24458816647529602,1.733990848064421,7.1227738857269305
1982-05-01,5.32461929321289,4.53248929977417,-0.529977262020111,4.803401470184331,10.133872985839801,0.11702299118041999,0.307032525539398,9.85710859298706,5.333378732204442
1982-06-01,1.6574457883834801,1.61471915245056,-3.10708236694336,4.673409461975099,0.667874753475189,0.0786513388156891,0.266640514135361,3.27216494083404,7.780491828918459
1982-07-01,4.77668523788452,1.6289649009704599,-1.86411380767822,4.8121542930603,1.58558487892151,0.0622278489172459,0.290482491254807,6.40565013885498,6.67626810073852
1982-08-01,34.4687728881836,8.84990119934082,2.0228037834167503,4.7842812538147,11.8257474899292,0.107870846986771,0.42504093050956704,43.31867408752442,2.7614774703979497
1982-09-01,17.2146816253662,10.5205888748169,1.4215207099914597,4.58827209472656,16.0977249145508,0.172953486442566,0.35851240158081105,27.7352705001831,3.1667513847351003
1982-10-01,9.664106369018551,11.6645183563232,6.1687183380127,4.66994380950928,24.424503326416,0.216574311256409,0.347596079111099,21.32862472534175,-1.4987745285034197
1982-11-01,0.45153841376304604,3.7182681560516397,0.216806143522263,3.3535149097442596,13.047887802124,0.210809648036957,0.260538667440414,4.169806569814686,3.1367087662219966
1982-12-01,10.954617500305199,6.4099383354187,8.52092170715332,3.35390710830688,17.9904499053955,0.20239250361919395,0.436264365911484,17.3645558357239,-5.167014598846441
1983-01-01,7.63118934631348,3.5452878475189196,6.28600788116455,3.5390400886535605,11.7417325973511,0.105018422007561,0.402678072452545,11.1764771938324,-2.7469677925109894
1983-02-01,4.0844030380249,4.82539844512939,7.990595817565921,3.16442608833313,14.9287881851196,0.119826599955559,0.344024211168289,8.90980148315429,-4.826169729232791
1983-03-01,1.2718358039856,3.28599309921265,4.1316180229187,3.3640713691711404,13.426326751709,0.122147120535374,0.278191775083542,4.55782890319825,-0.7675466537475599
1983-04-01,0.6451120376586911,1.5585726499557502,-2.72338008880615,3.57370924949646,3.35859251022339,0.0939421355724335,0.258576899766922,2.2036846876144414,6.2970893383026105
1983-05-01,1.3075921535491901,1.32778477668762,-2.3570122718811004,5.08484649658203,1.2744145393371598,0.0666863173246384,0.265048891305923,2.63537693023681,7.441858768463131
1983-06-01,3.4096713066101096,1.1964199542999299,-1.7307672500610398,5.08833837509155,1.5226404666900601,0.0439158193767071,0.28585210442543,4.6060912609100395,6.81910562515259
1983-07-01,11.1458005905151,2.75223112106323,0.0793511718511581,5.22576761245728,4.96716451644897,0.0505776591598988,0.345870733261108,13.89803171157833,5.146416440606122
1983-08-01,24.5657386779785,6.50218915939331,2.18027925491333,5.17676591873169,9.859700202941891,0.0795558243989944,0.415107756853104,31.067927837371812,2.9964866638183603
1983-09-01,20.5715732574463,7.21922206878662,2.5095362663269,4.951988220214839,11.667625427246099,0.102447398006916,0.40488591790199296,27.79079532623292,2.4424519538879395
1983-10-01,22.469890594482397,8.81463146209717,6.2143874168396,5.03853321075439,17.5410957336426,0.134747490286827,0.41071835160255393,31.28452205657957,-1.1758542060852095
1983-11-01,21.4468879699707,6.44626617431641,7.78326272964478,4.6396589279174805,18.208917617797898,0.1552944034338,0.438562244176865,27.89315414428711,-3.1436038017272994
1983-12-01,7.09042024612427,4.81441354751587,9.35372161865234,3.39220356941223,18.7248497009277,0.161568000912666,0.34182646870613104,11.90483379364014,-5.9615180492401105
1984-01-01,3.38954710960388,7.11876726150513,14.4205331802368,2.91690444946289,25.4143848419189,0.20956525206565899,0.30168253183364896,10.508314371109009,-11.50362873077391
1984-02-01,9.768815994262699,10.083394050598098,17.9757480621338,3.3352110385894798,31.1001758575439,0.209204062819481,0.3783894777297971,19.852210044860797,-14.64053702354432
1984-03-01,2.2192842960357697,6.10074853897095,7.20446681976318,3.3927481174469,22.7721996307373,0.194816991686821,0.271512299776077,8.32003283500672,-3.81171870231628
1984-04-01,0.7042591571807858,2.16800761222839,-3.1173112392425497,3.9887945652008097,1.63285648822784,0.14468377828598003,0.243306189775467,2.8722667694091757,7.106105804443359
1984-05-01,3.584965467453,2.25497794151306,-1.40326380729675,4.71922206878662,2.87538123130798,0.104609854519367,0.268672525882721,5.83994340896606,6.1224858760833705
1984-06-01,36.0978889465332,9.03100109100342,5.486144542694089,4.81330299377441,14.4111852645874,0.105623707175255,0.433181971311569,45.12889003753662,-0.6728415489196795
1984-07-01,47.4671287536621,12.217855453491199,7.25099229812622,4.93221759796143,18.6630630493164,0.130869939923286,0.432553172111511,59.6849842071533,-2.3187747001647896
1984-08-01,50.7489547729492,14.1704578399658,7.890429019927981,4.88264465332031,20.5506744384766,0.15355043113231698,0.461921572685242,64.919412612915,-3.0077843666076713
1984-09-01,16.1486854553223,11.7999114990234,7.974674224853519,4.66885852813721,22.226783752441396,0.17799086868763,0.362062603235245,27.948596954345703,-3.3058156967163095
