,gpp,nbp,fpc TrBR,fpc TrH,vegc
gpp,1.0,0.6751803541120324,0.8355569765656686,-0.8850626273520669,0.8088422631059929
nbp,0.6751803541120324,1.0,0.7828792999437634,-0.7094024556047944,0.7372383571020927
fpc TrBR,0.8355569765656686,0.7828792999437634,1.0,-0.8380964039183578,0.9341276837451866
fpc TrH,-0.8850626273520669,-0.7094024556047944,-0.8380964039183578,1.0,-0.8956436065625291
vegc,0.8088422631059929,0.7372383571020927,0.9341276837451866,-0.8956436065625291,1.0
