,gpp,nbp,fpc BoNS,fpc TeH,vegc
gpp,1.0,0.6025841005404564,0.659946605083896,,0.48078485621578926
nbp,0.6025841005404564,1.0,0.4924597531800493,,0.21407398105574346
fpc BoNS,0.659946605083896,0.4924597531800493,1.0,,0.7209446958889935
fpc TeH,,,,,
vegc,0.48078485621578926,0.21407398105574346,0.7209446958889935,,1.0
