"date" "fpc NatStand" "fpc TrBE" "fpc TrBR" "fpc TeNE" "fpc TeBE" "fpc TeBS" "fpc BoNE" "fpc BoBS" "fpc BoNS" "fpc TrH" "fpc TeH" "fpc PoH"
"1982-1" 0.921000003814697 0.583157979459969 0.167815175885643 0 0 0 0 0 0 8.77511213981282e-05 0 0
"1983-1" 0.917999982833862 0.392285337026721 0.158363751221732 0 0 0 0 0 0 0.000189235889481325 0 0
"1984-1" 0.916999995708466 0.438506599966873 0.171916346758703 0 0 0 0 0 0 0.000158103318843542 0 0
"1985-1" 0.915000021457672 0.523952906498039 0.190066364617956 0 0 0 0 0 0 0.000103722719645206 0 0
"1986-1" 0.913999974727631 0.532030372690784 0.186664154255833 0 0 0 0 0 0 0.000100780529996053 0 0
"1987-1" 0.913999974727631 0.514116977423651 0.183450091326143 0 0 0 0 0 0 0.00011173226695531 0 0
"1988-1" 0.91100001335144 0.569168180283853 0.192732801758638 0 0 0 0 0 0 7.69117551384386e-05 0 0
"1989-1" 0.907000005245209 0.541219186574864 0.196520994518226 0 0 0 0 0 0 8.73765279862568e-05 0 0
"1990-1" 0.902999997138977 0.521980671063275 0.192516413004194 0 0 0 0 0 0 9.73742061003424e-05 0 0
"1991-1" 0.902999997138977 0.5129113889179 0.196933410467611 0 0 0 0 0 0 9.98030869707889e-05 0 0
"1992-1" 0.902999997138977 0.538775544307278 0.208981687688311 0 0 0 0 0 0 8.01704928678326e-05 0 0
"1993-1" 0.898000001907349 0.555781568992444 0.216504895252889 0 0 0 0 0 0 6.48626341639806e-05 0 0
"1994-1" 0.897000014781952 0.564685169227275 0.222899428419864 0 0 0 0 0 0 5.64126456139569e-05 0 0
"1995-1" 0.89300000667572 0.577382141436054 0.227440000416369 0 0 0 0 0 0 4.54091914373219e-05 0 0
"1996-1" 0.89300000667572 0.547943593843165 0.229164314016209 0 0 0 0 0 0 5.97863248798739e-05 0 0
"1997-1" 0.887000024318695 0.472074822970853 0.220880014961947 0 0 0 0 0 0 0.000100324132378118 0 0
"1998-1" 0.881999969482422 0.444630926364198 0.216961365941415 0 0 0 0 0 0 0.00011399614256441 0 0
"1999-1" 0.880999982357025 0.445020407586171 0.218906602126441 0 0 0 0 0 0 0.000112283354035429 0 0
"2000-1" 0.874000012874603 0.452181269869321 0.225448726994831 0 0 0 0 0 0 0.000101567078655567 0 0
"2001-1" 0.870999991893768 0.462624207303808 0.225823114409414 0 0 0 0 0 0 9.4401230295259e-05 0 0
"2002-1" 0.867999970912933 0.486140673082225 0.22469320760219 0 0 0 0 0 0 8.12359678810486e-05 0 0
"2003-1" 0.865000009536743 0.524149383422881 0.235784355915385 0 0 0 0 0 0 5.42046401615908e-05 0 0
"2004-1" 0.861999988555908 0.520851636408963 0.23963450435545 0 0 0 0 0 0 5.23639910348945e-05 0 0
"2005-1" 0.860000014305115 0.455402615492886 0.23147460726485 0 0 0 0 0 0 8.95464876136667e-05 0 0
"2006-1" 0.860000014305115 0.455699667165995 0.238183592347493 0 0 0 0 0 0 8.59268511444735e-05 0 0
"2007-1" 0.860000014305115 0.453777161040037 0.244884042640908 0 0 0 0 0 0 8.34544887096025e-05 0 0
"2008-1" 0.860000014305115 0.49237086280619 0.257737665887284 0 0 0 0 0 0 5.67388578908354e-05 0 0
"2009-1" 0.860000014305115 0.501698285341789 0.262179395745179 0 0 0 0 0 0 4.95883732464131e-05 0 0
"2010-1" 0.860000014305115 0.530619277243602 0.263340024560108 0 0 0 0 0 0 3.39880112565976e-05 0 0
"2011-1" 0.860000014305115 0.546475429088161 0.270314049448757 0 0 0 0 0 0 2.21836405814603e-05 0 0
