"date" "vegc"
"1982-1" 1327.91235351562
"1983-1" 1308.71118164062
"1984-1" 1311.63732910156
"1985-1" 1336.81506347656
"1986-1" 1363.08129882812
"1987-1" 1359.05651855469
"1988-1" 1366.41137695312
"1989-1" 1454.93505859375
"1990-1" 1412.67626953125
"1991-1" 1474.50500488281
"1992-1" 1498.21081542969
"1993-1" 1526.88659667969
"1994-1" 1578.96704101562
"1995-1" 1568.25305175781
"1996-1" 1594.72485351562
"1997-1" 1557.53100585938
"1998-1" 1586.28039550781
"1999-1" 1632.35961914062
"2000-1" 1690.97680664062
"2001-1" 1774.56201171875
"2002-1" 1728.32653808594
"2003-1" 1704.10363769531
"2004-1" 1701.03662109375
"2005-1" 1762.06115722656
"2006-1" 1818.93676757812
"2007-1" 1872.48803710938
"2008-1" 1893.12036132812
"2009-1" 1885.15795898438
"2010-1" 1927.17016601562
"2011-1" 1977.75085449219
