"date" "mnpp"
"1982-1" -0.00484663341194391
"1982-2" -0.0291156228631735
"1982-3" -0.134047701954842
"1982-4" 9.14505195617676
"1982-5" 78.8138046264648
"1982-6" 76.1454925537109
"1982-7" 79.1612167358398
"1982-8" 35.0496788024902
"1982-9" 55.2564697265625
"1982-10" 12.8449306488037
"1982-11" -0.512500822544098
"1982-12" -0.0750551745295525
"1983-1" -0.0293391682207584
"1983-2" -0.0771757736802101
"1983-3" -0.206301137804985
"1983-4" 4.5330867767334
"1983-5" 40.799674987793
"1983-6" 109.649627685547
"1983-7" 94.744987487793
"1983-8" 25.3303928375244
"1983-9" 52.4024696350098
"1983-10" 12.5530767440796
"1983-11" -0.0711668953299522
"1983-12" -0.0364668481051922
"1984-1" -0.0222373027354479
"1984-2" -0.313653320074081
"1984-3" -0.26454746723175
"1984-4" 33.9111785888672
"1984-5" 66.400390625
"1984-6" 95.6160659790039
"1984-7" 82.5655975341797
"1984-8" 32.5383224487305
"1984-9" 28.1553592681885
"1984-10" 8.63218402862549
"1984-11" -0.413733422756195
"1984-12" -0.030859237536788
"1985-1" -0.0314552113413811
"1985-2" -0.0177117083221674
"1985-3" -0.356306672096252
"1985-4" 19.0574245452881
"1985-5" 82.0900955200195
"1985-6" 98.8178863525391
"1985-7" 56.1659736633301
"1985-8" 81.5700988769531
"1985-9" 46.7362403869629
"1985-10" 9.06040382385254
"1985-11" -0.217039033770561
"1985-12" -0.0234136283397675
"1986-1" -0.105888903141022
"1986-2" -0.0453996434807777
"1986-3" -0.348643720149994
"1986-4" 7.43772983551025
"1986-5" 75.233039855957
"1986-6" 47.6081085205078
"1986-7" 93.8026733398438
"1986-8" 91.3381271362305
"1986-9" 39.9979858398438
"1986-10" 10.9972715377808
"1986-11" -0.10201058536768
"1986-12" -0.171930879354477
"1987-1" -0.135182440280914
"1987-2" -0.262934595346451
"1987-3" -0.519112646579742
"1987-4" 32.7163352966309
"1987-5" 39.1238861083984
"1987-6" 42.6370849609375
"1987-7" 96.5733413696289
"1987-8" 64.5354080200195
"1987-9" 47.8994636535645
"1987-10" 9.78887939453125
"1987-11" -0.22287654876709
"1987-12" -0.193406417965889
"1988-1" -0.0125196753069758
"1988-2" -0.0451102964580059
"1988-3" -0.269269645214081
"1988-4" 10.5532579421997
"1988-5" 67.4693222045898
"1988-6" 70.8635330200195
"1988-7" 77.6759719848633
"1988-8" 45.0265998840332
"1988-9" 48.0608825683594
"1988-10" 11.5134840011597
"1988-11" -0.402357369661331
"1988-12" -0.0867204442620277
"1989-1" -0.027491495013237
"1989-2" -0.0432203859090805
"1989-3" -0.130343616008759
"1989-4" 9.07044410705566
"1989-5" 51.1675987243652
"1989-6" 115.476264953613
"1989-7" 59.7961959838867
"1989-8" 76.1643447875977
"1989-9" 51.4625434875488
"1989-10" 13.9439096450806
"1989-11" -0.426783323287964
"1989-12" -0.0335295461118221
"1990-1" -0.0658036172389984
"1990-2" -0.0323897190392017
"1990-3" -0.38237276673317
"1990-4" 9.25055694580078
"1990-5" 56.8668060302734
"1990-6" 76.8913269042969
"1990-7" 27.4752960205078
"1990-8" 27.6711750030518
"1990-9" 34.9529991149902
"1990-10" 7.14693880081177
"1990-11" -0.58296537399292
"1990-12" -0.0569659136235714
"1991-1" -0.0193029064685106
"1991-2" -0.210260301828384
"1991-3" -0.29967275261879
"1991-4" 20.6499252319336
"1991-5" 78.0051574707031
"1991-6" 96.3858947753906
"1991-7" 54.4338684082031
"1991-8" 17.3698616027832
"1991-9" 26.7642688751221
"1991-10" 6.01641035079956
"1991-11" -0.371862024068832
"1991-12" -0.0784004554152489
"1992-1" -0.0569434463977814
"1992-2" -0.136379480361938
"1992-3" -0.407577872276306
"1992-4" 2.61113023757935
"1992-5" 76.1129379272461
"1992-6" 96.6704254150391
"1992-7" 39.7182159423828
"1992-8" 93.8442077636719
"1992-9" 47.5410842895508
"1992-10" 8.76355266571045
"1992-11" -0.647181451320648
"1992-12" -0.0604693591594696
"1993-1" -0.0432523153722286
"1993-2" -0.0941906645894051
"1993-3" -0.426144897937775
"1993-4" 9.5868091583252
"1993-5" 67.6465911865234
"1993-6" 52.847599029541
"1993-7" 99.3988189697266
"1993-8" 84.8478164672852
"1993-9" 50.8365020751953
"1993-10" 7.12474298477173
"1993-11" -0.66648930311203
"1993-12" -0.0982948541641235
"1994-1" -0.00905053690075874
"1994-2" -0.00895682256668806
"1994-3" -0.481319636106491
"1994-4" 12.3134613037109
"1994-5" 67.5183715820312
"1994-6" 83.22265625
"1994-7" 93.9199981689453
"1994-8" 78.5547866821289
"1994-9" 58.5847053527832
"1994-10" 15.3393859863281
"1994-11" -0.442350089550018
"1994-12" -0.152252748608589
"1995-1" -0.0428570732474327
"1995-2" -0.0785157009959221
"1995-3" -0.388413727283478
"1995-4" -0.603348016738892
"1995-5" 65.9600372314453
"1995-6" 52.4730567932129
"1995-7" 66.1957321166992
"1995-8" 65.0718154907227
"1995-9" 59.7830848693848
"1995-10" 15.7405309677124
"1995-11" -0.627383887767792
"1995-12" -0.0683502927422523
"1996-1" -0.0037908093072474
"1996-2" -0.0522446781396866
"1996-3" -0.082372784614563
"1996-4" 0.346694529056549
"1996-5" 53.4997138977051
"1996-6" 94.1762847900391
"1996-7" 94.1733779907227
"1996-8" 66.0064468383789
"1996-9" 39.5820579528809
"1996-10" 6.45731115341187
"1996-11" -0.415267020463943
"1996-12" -0.038140170276165
"1997-1" -0.0288486201316118
"1997-2" -0.0638826265931129
"1997-3" -0.160916090011597
"1997-4" 3.64793872833252
