"date" "fpc NatStand" "fpc TrBE" "fpc TrBR" "fpc TeNE" "fpc TeBE" "fpc TeBS" "fpc BoNE" "fpc BoBS" "fpc BoNS" "fpc TrH" "fpc TeH" "fpc PoH"
"1982-1" 0.921000003814697 0.399528604880757 0.400431559731118 0 0 0 0 0 0 6.27437504424413e-05 0 0
"1983-1" 0.917999982833862 0.270598419374608 0.370237096538972 0 0 0 0 0 0 0.000143976008330181 0 0
"1984-1" 0.916999995708466 0.292493242891689 0.391390148596123 0 0 0 0 0 0 0.000121156170935654 0 0
"1985-1" 0.915000021457672 0.34247052176252 0.420196828563412 0 0 0 0 0 0 7.90748919816168e-05 0 0
"1986-1" 0.913999974727631 0.34607773676254 0.419652861316511 0 0 0 0 0 0 7.69426386075826e-05 0 0
"1987-1" 0.913999974727631 0.334557900655286 0.411133136885011 0 0 0 0 0 0 8.74500407784212e-05 0 0
"1988-1" 0.91100001335144 0.374204850018671 0.425130246283565 0 0 0 0 0 0 5.78535348142988e-05 0 0
"1989-1" 0.907000005245209 0.369501703551425 0.425083404704507 0 0 0 0 0 0 5.82458206139168e-05 0 0
"1990-1" 0.902999997138977 0.35664644438279 0.413874873101712 0 0 0 0 0 0 6.87676658275797e-05 0 0
"1991-1" 0.902999997138977 0.358032198099398 0.418113353149575 0 0 0 0 0 0 6.58284980333311e-05 0 0
"1992-1" 0.902999997138977 0.374691410486868 0.434263184721246 0 0 0 0 0 0 4.86849841639914e-05 0 0
"1993-1" 0.898000001907349 0.380417465243106 0.442938485311508 0 0 0 0 0 0 3.85662248682511e-05 0 0
"1994-1" 0.897000014781952 0.387421225316114 0.449953570330255 0 0 0 0 0 0 3.074817614209e-05 0 0
"1995-1" 0.89300000667572 0.398064784552172 0.448961696464345 0 0 0 0 0 0 2.36619400789003e-05 0 0
"1996-1" 0.89300000667572 0.376694138243494 0.447482998616891 0 0 0 0 0 0 3.5547794723412e-05 0 0
"1997-1" 0.887000024318695 0.326607608004339 0.445600034473298 0 0 0 0 0 0 5.95591943814877e-05 0 0
"1998-1" 0.881999969482422 0.306932011415142 0.426662741203472 0 0 0 0 0 0 7.72210072957358e-05 0 0
"1999-1" 0.880999982357025 0.293343092497709 0.432291704968085 0 0 0 0 0 0 8.09085930036247e-05 0 0
"2000-1" 0.874000012874603 0.297351011841727 0.433064165772635 0 0 0 0 0 0 7.47336304142902e-05 0 0
"2001-1" 0.870999991893768 0.306045453531345 0.432228271991661 0 0 0 0 0 0 6.90358747575007e-05 0 0
"2002-1" 0.867999970912933 0.322371100828594 0.426418315187842 0 0 0 0 0 0 6.19540391392508e-05 0 0
"2003-1" 0.865000009536743 0.351781441573465 0.441379996934089 0 0 0 0 0 0 3.7160391339483e-05 0 0
"2004-1" 0.861999988555908 0.350113637746361 0.442368310896626 0 0 0 0 0 0 3.59510294103624e-05 0 0
"2005-1" 0.860000014305115 0.307506969321722 0.424692188413069 0 0 0 0 0 0 6.65032800464234e-05 0 0
"2006-1" 0.860000014305115 0.300278002846152 0.429817854759047 0 0 0 0 0 0 6.76308873125064e-05 0 0
"2007-1" 0.860000014305115 0.302349265478643 0.434650570231547 0 0 0 0 0 0 6.40052500699307e-05 0 0
"2008-1" 0.860000014305115 0.327179632860776 0.451766231422084 0 0 0 0 0 0 4.20100315826188e-05 0 0
"2009-1" 0.860000014305115 0.332898197943081 0.452421641722751 0 0 0 0 0 0 3.86752816733285e-05 0 0
"2010-1" 0.860000014305115 0.349715961670586 0.455922238065845 0 0 0 0 0 0 2.80654356477426e-05 0 0
"2011-1" 0.860000014305115 0.356394242016009 0.460605761321851 0 0 0 0 0 0 2.19297215163126e-05 0 0
