"date" "mgpp"
"1982-1" 25.2224502563477
"1982-2" 43.4715614318848
"1982-3" 79.3351898193359
"1982-4" 107.801872253418
"1982-5" 80.2652740478516
"1982-6" 58.9329299926758
"1982-7" 21.4375514984131
"1982-8" 19.3069953918457
"1982-9" 14.7264671325684
"1982-10" 30.3493690490723
"1982-11" 25.6030044555664
"1982-12" 14.0915031433105
"1983-1" 30.6300239562988
"1983-2" 34.3167304992676
"1983-3" 64.3549118041992
"1983-4" 48.5708045959473
"1983-5" 78.5237426757812
"1983-6" 20.3634052276611
"1983-7" 7.1099157333374
"1983-8" 14.7695360183716
"1983-9" 17.1253528594971
"1983-10" 20.9201126098633
"1983-11" 17.5604400634766
"1983-12" 19.6650161743164
"1984-1" 16.1596393585205
"1984-2" 36.0198211669922
"1984-3" 53.7277145385742
"1984-4" 101.128234863281
"1984-5" 94.1069641113281
"1984-6" 66.0622863769531
"1984-7" 26.4501056671143
"1984-8" 5.96843862533569
"1984-9" 10.4472007751465
"1984-10" 23.4362773895264
"1984-11" 16.7534694671631
"1984-12" 18.3827781677246
"1985-1" 13.605767250061
"1985-2" 39.4716377258301
"1985-3" 86.0834579467773
"1985-4" 108.35221862793
"1985-5" 120.380805969238
"1985-6" 66.4209289550781
"1985-7" 11.3012132644653
"1985-8" 5.8581109046936
"1985-9" 6.52969598770142
"1985-10" 11.3951091766357
"1985-11" 12.7858295440674
"1985-12" 9.50640869140625
"1986-1" 18.7665786743164
"1986-2" 23.9235401153564
"1986-3" 81.537956237793
"1986-4" 92.3966369628906
"1986-5" 74.7743606567383
"1986-6" 57.7145538330078
"1986-7" 10.4865417480469
"1986-8" 4.91819477081299
"1986-9" 12.2744121551514
"1986-10" 28.9163379669189
"1986-11" 28.5236968994141
"1986-12" 21.6008739471436
"1987-1" 20.5240631103516
"1987-2" 34.7658996582031
"1987-3" 93.7217407226562
"1987-4" 107.941757202148
"1987-5" 74.3330078125
"1987-6" 32.8475036621094
"1987-7" 27.6448192596436
"1987-8" 26.9140186309814
"1987-9" 27.1787662506104
"1987-10" 26.8095569610596
"1987-11" 28.4389095306396
"1987-12" 11.0890674591064
"1988-1" 21.6894969940186
"1988-2" 52.4695510864258
"1988-3" 104.126426696777
"1988-4" 112.83650970459
"1988-5" 103.865615844727
"1988-6" 90.1881484985352
"1988-7" 58.3970375061035
"1988-8" 8.42173767089844
"1988-9" 5.71537780761719
"1988-10" 21.6808700561523
"1988-11" 25.7151851654053
"1988-12" 25.6124725341797
"1989-1" 32.5225028991699
"1989-2" 50.1057167053223
"1989-3" 95.2771453857422
"1989-4" 106.587028503418
"1989-5" 124.922019958496
"1989-6" 56.6802368164062
"1989-7" 15.4521732330322
"1989-8" 6.89977121353149
"1989-9" 16.4816551208496
"1989-10" 36.961986541748
"1989-11" 25.8964042663574
"1989-12" 11.2354688644409
"1990-1" 31.4316577911377
"1990-2" 68.8369140625
"1990-3" 106.390365600586
"1990-4" 116.357925415039
"1990-5" 82.7122650146484
"1990-6" 20.6420116424561
"1990-7" 9.00608539581299
"1990-8" 19.1372299194336
"1990-9" 24.3880195617676
"1990-10" 33.3521957397461
"1990-11" 33.0017929077148
"1990-12" 15.8523082733154
"1991-1" 22.9103450775146
"1991-2" 31.396951675415
"1991-3" 74.9608993530273
"1991-4" 121.01636505127
"1991-5" 75.9070129394531
"1991-6" 11.3165245056152
"1991-7" 26.8386821746826
"1991-8" 4.99129724502563
"1991-9" 26.5603256225586
"1991-10" 33.5387535095215
"1991-11" 31.2414073944092
"1991-12" 23.982494354248
"1992-1" 21.5546817779541
"1992-2" 42.0780296325684
"1992-3" 92.2868423461914
"1992-4" 90.0803604125977
"1992-5" 42.7568969726562
"1992-6" 71.8041076660156
"1992-7" 52.941822052002
"1992-8" 6.28274297714233
"1992-9" 18.227725982666
"1992-10" 32.441291809082
"1992-11" 33.8558464050293
"1992-12" 28.1500930786133
"1993-1" 33.4118843078613
"1993-2" 53.2421913146973
"1993-3" 79.4536666870117
"1993-4" 46.4728851318359
"1993-5" 108.734855651855
"1993-6" 69.0679397583008
"1993-7" 14.7030782699585
"1993-8" 5.02338838577271
"1993-9" 18.6924629211426
"1993-10" 28.1586780548096
"1993-11" 25.1871223449707
"1993-12" 20.8455905914307
"1994-1" 24.4802188873291
"1994-2" 44.4853172302246
"1994-3" 100.068946838379
"1994-4" 66.7472915649414
"1994-5" 46.0932922363281
"1994-6" 42.9775848388672
"1994-7" 6.76618766784668
"1994-8" 4.89292478561401
"1994-9" 16.1061191558838
"1994-10" 27.1338996887207
"1994-11" 27.4537181854248
"1994-12" 21.7091636657715
"1995-1" 23.3741912841797
"1995-2" 49.8388137817383
"1995-3" 83.480842590332
"1995-4" 29.3220462799072
"1995-5" 53.8177185058594
"1995-6" 55.6128120422363
"1995-7" 27.815393447876
"1995-8" 12.3076658248901
"1995-9" 15.0887489318848
"1995-10" 23.0340709686279
"1995-11" 21.588306427002
"1995-12" 10.0351333618164
"1996-1" 11.7237606048584
"1996-2" 40.155101776123
"1996-3" 80.4355697631836
"1996-4" 101.579277038574
"1996-5" 104.618118286133
"1996-6" 65.096305847168
"1996-7" 14.1404914855957
"1996-8" 6.63927745819092
"1996-9" 18.1795902252197
"1996-10" 32.0972785949707
"1996-11" 23.5010471343994
"1996-12" 9.02546787261963
"1997-1" 19.855167388916
"1997-2" 61.6022796630859
"1997-3" 121.914443969727
"1997-4" 89.331901550293
"1997-5" 91.9743881225586
"1997-6" 73.3904876708984
"1997-7" 43.6792793273926
"1997-8" 30.5682735443115
