"date" "mrh"
"1982-1" 17.1631889343262
"1982-2" 14.6088104248047
"1982-3" 16.6437873840332
"1982-4" 17.7133712768555
"1982-5" 18.780611038208
"1982-6" 18.7413444519043
"1982-7" 19.2843208312988
"1982-8" 19.0196075439453
"1982-9" 18.124584197998
"1982-10" 18.4391078948975
"1982-11" 17.0613117218018
"1982-12" 15.037281036377
"1983-1" 14.6921672821045
"1983-2" 11.2648868560791
"1983-3" 15.8446178436279
"1983-4" 15.423152923584
"1983-5" 18.0943489074707
"1983-6" 17.8943424224854
"1983-7" 18.666654586792
"1983-8" 18.4028358459473
"1983-9" 17.5424785614014
"1983-10" 17.8497161865234
"1983-11" 16.738353729248
"1983-12" 14.7499847412109
"1984-1" 14.4643716812134
"1984-2" 12.9157543182373
"1984-3" 13.5060262680054
"1984-4" 17.1193199157715
"1984-5" 17.278413772583
"1984-6" 17.16676902771
"1984-7" 18.6282939910889
"1984-8" 18.3853454589844
"1984-9" 17.5218086242676
"1984-10" 17.8122787475586
"1984-11" 16.3438606262207
"1984-12" 15.6847496032715
"1985-1" 11.3785228729248
"1985-2" 13.5327310562134
"1985-3" 14.5557203292847
"1985-4" 15.8777847290039
"1985-5" 17.2893676757812
"1985-6" 17.0289573669434
"1985-7" 18.1178169250488
"1985-8" 17.904956817627
"1985-9" 17.0659980773926
"1985-10" 17.3610057830811
"1985-11" 15.0722236633301
"1985-12" 14.194299697876
"1986-1" 13.4265060424805
"1986-2" 11.0728101730347
"1986-3" 15.6125774383545
"1986-4" 14.2310256958008
"1986-5" 17.0321655273438
"1986-6" 16.7661552429199
"1986-7" 17.8522911071777
"1986-8" 17.6237983703613
"1986-9" 16.8071002960205
"1986-10" 17.1103572845459
"1986-11" 16.3114452362061
"1986-12" 14.2349262237549
"1987-1" 12.5182132720947
"1987-2" 12.0314865112305
"1987-3" 15.9844722747803
"1987-4" 15.4701910018921
"1987-5" 16.9521465301514
"1987-6" 16.6833038330078
"1987-7" 17.5364723205566
"1987-8" 17.3182907104492
"1987-9" 16.5182762145996
"1987-10" 16.8207702636719
"1987-11" 15.6626920700073
"1987-12" 13.9598722457886
"1988-1" 15.3137121200562
"1988-2" 14.0248985290527
"1988-3" 15.0982608795166
"1988-4" 15.6279668807983
"1988-5" 16.8210105895996
"1988-6" 16.8265228271484
"1988-7" 17.5790843963623
"1988-8" 17.4426918029785
"1988-9" 16.6664142608643
"1988-10" 16.9690895080566
"1988-11" 15.945743560791
"1988-12" 14.1414527893066
"1989-1" 14.0945510864258
"1989-2" 12.9729776382446
"1989-3" 16.8421440124512
"1989-4" 16.0553665161133
"1989-5" 17.2497215270996
"1989-6" 17.2529449462891
"1989-7" 18.0479068756104
"1989-8" 17.8226509094238
"1989-9" 16.9970569610596
"1989-10" 17.3037757873535
"1989-11" 16.3775825500488
"1989-12" 15.391921043396
"1990-1" 15.3238658905029
"1990-2" 15.8409976959229
"1990-3" 16.7404041290283
"1990-4" 16.2671089172363
"1990-5" 17.7685127258301
"1990-6" 17.6863346099854
"1990-7" 18.3978786468506
"1990-8" 18.1558837890625
"1990-9" 17.3128852844238
"1990-10" 17.624626159668
"1990-11" 16.3191204071045
"1990-12" 13.345666885376
"1991-1" 14.8117294311523
"1991-2" 11.8807802200317
"1991-3" 16.3153018951416
"1991-4" 16.0036811828613
"1991-5" 17.4081172943115
"1991-6" 17.4380741119385
"1991-7" 18.4058856964111
"1991-8" 18.1627101898193
"1991-9" 17.3204307556152
"1991-10" 17.6328792572021
"1991-11" 16.4438896179199
"1991-12" 15.2382097244263
"1992-1" 13.0333395004272
"1992-2" 11.7937116622925
"1992-3" 16.916690826416
"1992-4" 15.9798746109009
"1992-5" 17.7966976165771
"1992-6" 17.4818096160889
"1992-7" 18.2173404693604
"1992-8" 18.0251846313477
"1992-9" 17.2049732208252
"1992-10" 17.5155658721924
"1992-11" 16.2571640014648
"1992-12" 15.1869869232178
"1993-1" 14.2959690093994
"1993-2" 13.3263130187988
"1993-3" 14.3791761398315
"1993-4" 15.1465539932251
"1993-5" 17.3326034545898
"1993-6" 17.2716045379639
"1993-7" 18.0773658752441
"1993-8" 17.8588428497314
"1993-9" 17.0397262573242
"1993-10" 17.2035579681396
"1993-11" 15.489052772522
"1993-12" 13.6858549118042
"1994-1" 14.0827884674072
"1994-2" 12.82590675354
"1994-3" 17.4310703277588
"1994-4" 15.0534677505493
"1994-5" 17.5938777923584
"1994-6" 17.362491607666
"1994-7" 17.9942417144775
"1994-8" 17.7653293609619
"1994-9" 16.942663192749
"1994-10" 17.2550010681152
"1994-11" 16.4511337280273
"1994-12" 14.6745319366455
"1995-1" 14.7783975601196
"1995-2" 15.1715631484985
"1995-3" 15.7672576904297
"1995-4" 15.6005725860596
"1995-5" 17.3636493682861
"1995-6" 17.047212600708
"1995-7" 17.6116619110107
"1995-8" 17.4139080047607
"1995-9" 16.6016101837158
"1995-10" 16.9027938842773
"1995-11" 16.0088443756104
"1995-12" 14.4143085479736
"1996-1" 14.0616073608398
"1996-2" 12.2871656417847
"1996-3" 14.8013429641724
"1996-4" 16.1437816619873
"1996-5" 16.6995716094971
"1996-6" 16.5624980926514
"1996-7" 17.450345993042
"1996-8" 17.2562389373779
"1996-9" 16.4438819885254
"1996-10" 16.7282009124756
"1996-11" 15.7956819534302
"1996-12" 13.3695774078369
"1997-1" 13.5458946228027
"1997-2" 13.7395343780518
"1997-3" 16.3341636657715
"1997-4" 15.9203805923462
"1997-5" 16.5576725006104
"1997-6" 16.6231117248535
"1997-7" 17.0924377441406
