"date" "vegc"
"1982-1" 477.188751220703
"1983-1" 423.692749023438
"1984-1" 450.600891113281
"1985-1" 458.794647216797
"1986-1" 462.207885742188
"1987-1" 474.475677490234
"1988-1" 511.822601318359
"1989-1" 501.686096191406
"1990-1" 494.944885253906
"1991-1" 476.232879638672
"1992-1" 498.329528808594
"1993-1" 495.236145019531
"1994-1" 449.837432861328
"1995-1" 420.897766113281
"1996-1" 463.416320800781
"1997-1" 511.688903808594
"1998-1" 550.403259277344
"1999-1" 487.660888671875
"2000-1" 489.916046142578
"2001-1" 509.063201904297
"2002-1" 541.973083496094
"2003-1" 541.327087402344
"2004-1" 595.506530761719
"2005-1" 503.014068603516
"2006-1" 533.153381347656
"2007-1" 607.147766113281
"2008-1" 635.704650878906
"2009-1" 563.878479003906
"2010-1" 603.397033691406
"2011-1" 616.296142578125
