"date" "mevap"
"1982-1" 0.282955259084702
"1982-2" 3.3096969127655
"1982-3" 6.6435399055481
"1982-4" 1.66455066204071
"1982-5" 20.7606430053711
"1982-6" 19.427827835083
"1982-7" 12.3766593933105
"1982-8" 26.2157554626465
"1982-9" 27.9206600189209
"1982-10" 20.0009841918945
"1982-11" 11.0665807723999
"1982-12" 0.66193413734436
"1983-1" 0.257769614458084
"1983-2" 0.216379433870316
"1983-3" 0.14392226934433
"1983-4" 0.0914821699261665
"1983-5" 17.913516998291
"1983-6" 14.6779184341431
"1983-7" 26.8064804077148
"1983-8" 29.9204063415527
"1983-9" 33.0348625183105
"1983-10" 24.2601947784424
"1983-11" 6.99881362915039
"1983-12" 0.738460540771484
"1984-1" 0.33317506313324
"1984-2" 0.178024664521217
"1984-3" 3.27595829963684
"1984-4" 12.2361116409302
"1984-5" 20.8853416442871
"1984-6" 53.8789215087891
"1984-7" 55.1690673828125
"1984-8" 58.1001586914062
"1984-9" 58.1522331237793
"1984-10" 21.8811225891113
"1984-11" 28.6193103790283
"1984-12" 1.6762775182724
"1985-1" 0.899671971797943
"1985-2" 0.572999119758606
"1985-3" 14.7013177871704
"1985-4" 14.9067239761353
"1985-5" 23.3034267425537
"1985-6" 35.7974739074707
"1985-7" 45.6044044494629
"1985-8" 52.2430152893066
"1985-9" 49.6439056396484
"1985-10" 33.128345489502
"1985-11" 20.6651439666748
"1985-12" 6.39105606079102
"1986-1" 0.547431707382202
"1986-2" 2.57199454307556
"1986-3" 4.63747119903564
"1986-4" 3.90715622901917
"1986-5" 9.57428169250488
"1986-6" 29.2157535552979
"1986-7" 30.6643695831299
"1986-8" 34.2607612609863
"1986-9" 38.8722801208496
"1986-10" 30.3887538909912
"1986-11" 5.93925952911377
"1986-12" 0.639449238777161
"1987-1" 0.299402296543121
"1987-2" 0.17319592833519
"1987-3" 1.85165321826935
"1987-4" 11.7359590530396
"1987-5" 11.4040012359619
"1987-6" 36.6207046508789
"1987-7" 36.451358795166
"1987-8" 38.1156921386719
"1987-9" 42.9417762756348
"1987-10" 33.699146270752
"1987-11" 5.66718912124634
"1987-12" 0.630004286766052
"1988-1" 2.54640913009644
"1988-2" 0.632593631744385
"1988-3" 14.4005908966064
"1988-4" 8.56104183197021
"1988-5" 17.8232574462891
"1988-6" 26.4817123413086
"1988-7" 39.7327270507812
"1988-8" 40.3344688415527
"1988-9" 41.4608039855957
"1988-10" 35.267635345459
"1988-11" 7.08603668212891
"1988-12" 2.51597905158997
"1989-1" 0.735109090805054
"1989-2" 0.238498568534851
"1989-3" 0.13999879360199
"1989-4" 3.39644265174866
"1989-5" 16.5979290008545
"1989-6" 18.6336402893066
"1989-7" 31.1611576080322
"1989-8" 29.9055156707764
"1989-9" 36.480354309082
"1989-10" 32.5343170166016
"1989-11" 11.7765188217163
"1989-12" 0.690759062767029
"1990-1" 2.03960728645325
"1990-2" 0.640602111816406
"1990-3" 0.532488405704498
"1990-4" 7.34650087356567
"1990-5" 13.9300832748413
"1990-6" 26.7103061676025
"1990-7" 27.157247543335
"1990-8" 35.9297943115234
"1990-9" 30.9434947967529
"1990-10" 24.0567111968994
"1990-11" 13.1522874832153
"1990-12" 2.77692294120789
"1991-1" 0.714422285556793
"1991-2" 2.47920060157776
"1991-3" 2.24961042404175
"1991-4" 6.94955825805664
"1991-5" 12.7581253051758
"1991-6" 25.8545455932617
"1991-7" 33.3579177856445
"1991-8" 36.0655250549316
"1991-9" 40.7384796142578
"1991-10" 35.5963287353516
"1991-11" 14.4063301086426
"1991-12" 0.90809428691864
"1992-1" 0.440800577402115
"1992-2" 0.198927074670792
"1992-3" 0.910242974758148
"1992-4" 25.6812744140625
"1992-5" 16.9917793273926
"1992-6" 37.2190170288086
"1992-7" 39.5247459411621
"1992-8" 38.213809967041
"1992-9" 39.0789909362793
"1992-10" 39.458179473877
"1992-11" 12.4994287490845
"1992-12" 0.886876940727234
"1993-1" 0.322406828403473
"1993-2" 0.245514422655106
"1993-3" 1.78082668781281
"1993-4" 19.9735794067383
"1993-5" 12.2496929168701
"1993-6" 35.3243446350098
"1993-7" 31.5086669921875
"1993-8" 37.2133445739746
"1993-9" 39.8492469787598
"1993-10" 26.1532649993896
"1993-11" 12.9038372039795
"1993-12" 2.45917463302612
"1994-1" 1.65215528011322
"1994-2" 0.596401214599609
"1994-3" 0.598673284053802
"1994-4" 9.11860942840576
"1994-5" 15.9437494277954
"1994-6" 28.5369548797607
"1994-7" 27.6865329742432
"1994-8" 25.2122211456299
"1994-9" 32.1841621398926
"1994-10" 20.8732242584229
"1994-11" 14.1666040420532
"1994-12" 1.32120907306671
"1995-1" 1.80669224262238
"1995-2" 2.67977333068848
"1995-3" 13.7693214416504
"1995-4" 13.065899848938
"1995-5" 12.2673635482788
"1995-6" 15.8902082443237
"1995-7" 26.1768379211426
"1995-8" 25.137186050415
"1995-9" 31.7459201812744
"1995-10" 18.133508682251
"1995-11" 8.60624313354492
"1995-12" 0.780355155467987
"1996-1" 0.57430225610733
"1996-2" 0.276177883148193
"1996-3" 0.195378646254539
"1996-4" 14.4994859695435
"1996-5" 14.8146390914917
"1996-6" 19.5243873596191
"1996-7" 25.9005794525146
"1996-8" 24.1002559661865
"1996-9" 27.8109493255615
"1996-10" 22.7532634735107
"1996-11" 10.5929040908813
"1996-12" 0.860108733177185
"1997-1" 0.971136331558228
"1997-2" 0.980022847652435
"1997-3" 0.717990279197693
"1997-4" 15.9961462020874
"1997-5" 4.05034112930298
"1997-6" 22.5600528717041
