"date" "vegc"
"1982-1" 3003.63916015625
"1983-1" 2843.20483398438
"1984-1" 2947.18701171875
"1985-1" 3091.63720703125
"1986-1" 3050.64965820312
"1987-1" 3052.5341796875
"1988-1" 3147.10546875
"1989-1" 3127.93334960938
"1990-1" 3046.23388671875
"1991-1" 3005.38696289062
"1992-1" 3087.65405273438
"1993-1" 3155.44116210938
"1994-1" 3204.61645507812
"1995-1" 3204.30126953125
"1996-1" 3162.03247070312
"1997-1" 3032.4814453125
"1998-1" 2930.2421875
"1999-1" 2934.08227539062
"2000-1" 2919.41186523438
"2001-1" 2954.35668945312
"2002-1" 2977.31396484375
"2003-1" 3066.82250976562
"2004-1" 3103.67553710938
"2005-1" 2990.291015625
"2006-1" 3001.87573242188
"2007-1" 3025.27465820312
"2008-1" 3129.86596679688
"2009-1" 3165.10766601562
"2010-1" 3232.134765625
"2011-1" 3302.97534179688
