"date" "vegc"
"1982-1" 2931.44897460938
"1983-1" 2729.50830078125
"1984-1" 2816.93701171875
"1985-1" 2978.71655273438
"1986-1" 3019.8994140625
"1987-1" 2940.01171875
"1988-1" 3051.1826171875
"1989-1" 2974.72827148438
"1990-1" 2889.15649414062
"1991-1" 2834.27905273438
"1992-1" 2913.28979492188
"1993-1" 2973.01806640625
"1994-1" 3014.3359375
"1995-1" 3052.2392578125
"1996-1" 2978.21362304688
"1997-1" 2828.74438476562
"1998-1" 2737.14233398438
"1999-1" 2750.3193359375
"2000-1" 2753.31372070312
"2001-1" 2784.65258789062
"2002-1" 2831.59057617188
"2003-1" 2922.22631835938
"2004-1" 2925.97998046875
"2005-1" 2809.78564453125
"2006-1" 2819.912109375
"2007-1" 2824.34521484375
"2008-1" 2926.23095703125
"2009-1" 2970.67700195312
"2010-1" 3048.97338867188
"2011-1" 3126.22143554688
