"date" "fpc NatStand" "fpc TrBE" "fpc TrBR" "fpc TeNE" "fpc TeBE" "fpc TeBS" "fpc BoNE" "fpc BoBS" "fpc BoNS" "fpc TrH" "fpc TeH" "fpc PoH"
"1982-1" 0.921000003814697 0.107319060509358 0.676827145578415 0 0 0 0 0 0 7.25439244946488e-05 0 0
"1983-1" 0.917999982833862 0.0807723227983512 0.619657769179199 0 0 0 0 0 0 0.000115656722211553 0 0
"1984-1" 0.916999995708466 0.077018563357159 0.644011786307942 0 0 0 0 0 0 0.000104176356246118 0 0
"1985-1" 0.915000021457672 0.0830566641421933 0.677700817980551 0 0 0 0 0 0 8.18522817194506e-05 0 0
"1986-1" 0.913999974727631 0.0755336045599186 0.681031642679741 0 0 0 0 0 0 8.35391365146807e-05 0 0
"1987-1" 0.913999974727631 0.0700162662875536 0.686909125646729 0 0 0 0 0 0 8.33252918771535e-05 0 0
"1988-1" 0.91100001335144 0.0772184949434855 0.708399357389439 0 0 0 0 0 0 6.63092224026714e-05 0 0
"1989-1" 0.907000005245209 0.073110452106202 0.703590748743093 0 0 0 0 0 0 6.89492478908637e-05 0 0
"1990-1" 0.902999997138977 0.0691297691658335 0.696660184202685 0 0 0 0 0 0 7.26831046802528e-05 0 0
"1991-1" 0.902999997138977 0.0702407295862599 0.701876762610134 0 0 0 0 0 0 6.92787148933874e-05 0 0
"1992-1" 0.902999997138977 0.0744663324827943 0.720443058234693 0 0 0 0 0 0 5.70302058852824e-05 0 0
"1993-1" 0.898000001907349 0.078618447724077 0.732367835169896 0 0 0 0 0 0 4.57319653167365e-05 0 0
"1994-1" 0.897000014781952 0.079040311804583 0.739021670420325 0 0 0 0 0 0 4.14117855528718e-05 0 0
"1995-1" 0.89300000667572 0.0810620140011187 0.736623597525792 0 0 0 0 0 0 3.94834278891129e-05 0 0
"1996-1" 0.89300000667572 0.0764243034324128 0.717182028886612 0 0 0 0 0 0 5.24309122729e-05 0 0
"1997-1" 0.887000024318695 0.0699046229663223 0.691067905418613 0 0 0 0 0 0 6.68294488919666e-05 0 0
"1998-1" 0.881999969482422 0.0626278287258515 0.671250532885779 0 0 0 0 0 0 7.88305539836109e-05 0 0
"1999-1" 0.880999982357025 0.0587422884636317 0.676496194941375 0 0 0 0 0 0 7.75350373630893e-05 0 0
"2000-1" 0.874000012874603 0.0603269413506493 0.676779450610816 0 0 0 0 0 0 7.27353449129268e-05 0 0
"2001-1" 0.870999991893768 0.0617191164933462 0.679157977459113 0 0 0 0 0 0 6.90620797370606e-05 0 0
"2002-1" 0.867999970912933 0.0620751161039248 0.675791697982657 0 0 0 0 0 0 6.9066817507723e-05 0 0
"2003-1" 0.865000009536743 0.0693529589669879 0.693759744663566 0 0 0 0 0 0 5.38474787870231e-05 0 0
"2004-1" 0.861999988555908 0.0680516260768371 0.692822453360691 0 0 0 0 0 0 5.34362277139488e-05 0 0
"2005-1" 0.860000014305115 0.0586658216340457 0.667126746545726 0 0 0 0 0 0 7.13171142200071e-05 0 0
"2006-1" 0.860000014305115 0.0578523639526871 0.669253164933224 0 0 0 0 0 0 7.06067890963238e-05 0 0
"2007-1" 0.860000014305115 0.0599506277877335 0.669335180925799 0 0 0 0 0 0 6.94162456689462e-05 0 0
"2008-1" 0.860000014305115 0.0661106247275756 0.68937804415134 0 0 0 0 0 0 5.52845056982776e-05 0 0
"2009-1" 0.860000014305115 0.0676060005347008 0.688513390549616 0 0 0 0 0 0 5.49444952456599e-05 0 0
"2010-1" 0.860000014305115 0.0709729684773928 0.696331975121808 0 0 0 0 0 0 4.89136147503694e-05 0 0
"2011-1" 0.860000014305115 0.0738001686689493 0.704844620031167 0 0 0 0 0 0 4.2814995597881e-05 0 0
