"date" "vegc"
"1982-1" 2930.23291015625
"1983-1" 2730.62036132812
"1984-1" 2815.134765625
"1985-1" 2973.85717773438
"1986-1" 3010.18505859375
"1987-1" 2940.15307617188
"1988-1" 3044.1337890625
"1989-1" 2967.82373046875
"1990-1" 2881.71826171875
"1991-1" 2861.8232421875
"1992-1" 2942.87670898438
"1993-1" 3003.86010742188
"1994-1" 3041.02905273438
"1995-1" 3068.72119140625
"1996-1" 2997.31665039062
"1997-1" 2846.84228515625
"1998-1" 2750.0634765625
"1999-1" 2771.09423828125
"2000-1" 2766.83520507812
"2001-1" 2793.91723632812
"2002-1" 2839.21850585938
"2003-1" 2927.7744140625
"2004-1" 2933.689453125
"2005-1" 2818.6904296875
"2006-1" 2810.5947265625
"2007-1" 2822.130859375
"2008-1" 2923.59350585938
"2009-1" 2964.93969726562
"2010-1" 3044.76879882812
"2011-1" 3122.66479492188
