"date" "mnpp"
"1982-1" -35.4631462097168
"1982-2" -10.8933582305908
"1982-3" -17.2098846435547
"1982-4" -27.3588733673096
"1982-5" 15.8614664077759
"1982-6" 47.3486671447754
"1982-7" 42.5007247924805
"1982-8" 48.9143486022949
"1982-9" 49.0681571960449
"1982-10" 48.6116981506348
"1982-11" 54.0158767700195
"1982-12" -23.5827388763428
"1983-1" -33.7930145263672
"1983-2" -20.8530082702637
"1983-3" -20.0288619995117
"1983-4" -22.8097953796387
"1983-5" 7.71911334991455
"1983-6" 28.5069332122803
"1983-7" 31.1804103851318
"1983-8" 36.1987915039062
"1983-9" 41.4579696655273
"1983-10" 42.9824104309082
"1983-11" 44.9482192993164
"1983-12" -23.3503036499023
"1984-1" -26.7842350006104
"1984-2" -11.8901462554932
"1984-3" -8.68743228912354
"1984-4" -1.11670911312103
"1984-5" 20.8038864135742
"1984-6" 44.6889724731445
"1984-7" 45.2419586181641
"1984-8" 46.4754753112793
"1984-9" 50.0798797607422
"1984-10" 45.8982696533203
"1984-11" 52.6672134399414
"1984-12" -3.72229433059692
"1985-1" -26.9370498657227
"1985-2" -19.7093696594238
"1985-3" -3.29415154457092
"1985-4" 19.4589099884033
"1985-5" 35.7600250244141
"1985-6" 44.564697265625
"1985-7" 44.2313499450684
"1985-8" 46.5609474182129
"1985-9" 48.0602912902832
"1985-10" 52.9363899230957
"1985-11" 51.8699264526367
"1985-12" 15.1345243453979
"1986-1" -35.1301231384277
"1986-2" -14.902720451355
"1986-3" -7.00811576843262
"1986-4" -20.6862487792969
"1986-5" 12.7051343917847
"1986-6" 46.4295654296875
"1986-7" 48.0825271606445
"1986-8" 52.0201988220215
"1986-9" 52.4054946899414
"1986-10" 52.2265548706055
"1986-11" 35.4580612182617
"1986-12" -26.1542682647705
"1987-1" -24.8298969268799
"1987-2" -18.6451988220215
"1987-3" -13.200587272644
"1987-4" 21.9210834503174
"1987-5" 19.254919052124
"1987-6" 39.8243560791016
"1987-7" 47.5382308959961
"1987-8" 49.6606292724609
"1987-9" 48.6385345458984
"1987-10" 50.799243927002
"1987-11" 27.1872177124023
"1987-12" -31.657751083374
"1988-1" -18.3457736968994
"1988-2" -19.8939476013184
"1988-3" 6.54831218719482
"1988-4" 12.6513175964355
"1988-5" 16.699146270752
"1988-6" 50.1885795593262
"1988-7" 54.9727172851562
"1988-8" 52.2766342163086
"1988-9" 49.4000396728516
"1988-10" 54.5297508239746
"1988-11" 28.4202461242676
"1988-12" -1.74421358108521
"1989-1" -29.9848594665527
"1989-2" -14.465313911438
"1989-3" -19.3358764648438
"1989-4" -10.6914281845093
"1989-5" 13.0918760299683
"1989-6" 46.6479454040527
"1989-7" 46.0793762207031
"1989-8" 47.1376190185547
"1989-9" 52.2293930053711
"1989-10" 59.0348281860352
"1989-11" 47.8526992797852
"1989-12" -21.4390277862549
"1990-1" -21.1176013946533
"1990-2" -19.9116096496582
"1990-3" -28.7657794952393
"1990-4" -13.7459335327148
"1990-5" 7.9149489402771
"1990-6" 49.6990623474121
"1990-7" 44.590202331543
"1990-8" 47.7310638427734
"1990-9" 47.0122261047363
"1990-10" 51.3647727966309
"1990-11" 46.651782989502
"1990-12" -12.2750511169434
"1991-1" -22.7447109222412
"1991-2" -19.3533420562744
"1991-3" -24.066032409668
"1991-4" -10.9460706710815
"1991-5" 15.7735605239868
"1991-6" 49.8881149291992
"1991-7" 45.8329658508301
"1991-8" 49.0321159362793
"1991-9" 47.9442443847656
"1991-10" 45.2546272277832
"1991-11" 49.9990653991699
"1991-12" -20.6614532470703
"1992-1" -31.5598411560059
"1992-2" -14.5748605728149
"1992-3" -24.6830711364746
"1992-4" 18.3073139190674
"1992-5" 36.9452972412109
"1992-6" 49.2378578186035
"1992-7" 51.8472213745117
"1992-8" 46.5726013183594
"1992-9" 54.1527481079102
"1992-10" 51.7487258911133
"1992-11" 51.3129692077637
"1992-12" -17.1530685424805
"1993-1" -33.3976898193359
"1993-2" -19.1481685638428
"1993-3" -26.1629047393799
"1993-4" 11.9752998352051
"1993-5" 43.4435005187988
"1993-6" 51.4202919006348
"1993-7" 49.423023223877
"1993-8" 53.4755668640137
"1993-9" 60.0157814025879
"1993-10" 55.474983215332
"1993-11" 38.3782119750977
"1993-12" -14.6545066833496
"1994-1" -34.0622596740723
"1994-2" -23.3449802398682
"1994-3" -27.630786895752
"1994-4" -16.5732727050781
"1994-5" 28.722017288208
"1994-6" 44.5562019348145
"1994-7" 54.9005889892578
"1994-8" 53.333065032959
"1994-9" 59.6029357910156
"1994-10" 54.648063659668
"1994-11" 61.8814849853516
"1994-12" -7.99090099334717
"1995-1" -28.727144241333
"1995-2" -21.8068408966064
"1995-3" -12.6976375579834
"1995-4" 39.4822387695312
"1995-5" 18.459888458252
"1995-6" 46.5893630981445
"1995-7" 49.3418960571289
"1995-8" 45.3048057556152
"1995-9" 53.9509925842285
"1995-10" 45.9153900146484
"1995-11" 42.3351669311523
"1995-12" -32.7885322570801
"1996-1" -34.5445594787598
"1996-2" -17.8247871398926
"1996-3" -21.2920017242432
"1996-4" -5.9863429069519
"1996-5" 32.4900894165039
"1996-6" 47.5143928527832
"1996-7" 49.5446701049805
"1996-8" 56.385066986084
"1996-9" 48.5044479370117
"1996-10" 48.7026710510254
"1996-11" 49.1263542175293
"1996-12" -31.2231063842773
"1997-1" -37.4320068359375
"1997-2" -28.6417789459229
"1997-3" -26.4863719940186
"1997-4" -1.86402928829193
"1997-5" -0.25219514966011
"1997-6" 46.5050888061523
"1997-7" 49.7429428100586
