"date" "mswc1"
"1982-1" 0.363173574209213
"1982-2" 0.422191768884659
"1982-3" 0.416498929262161
"1982-4" 0.374740928411484
"1982-5" 0.513446509838104
"1982-6" 0.601893782615662
"1982-7" 0.528788983821869
"1982-8" 0.653263807296753
"1982-9" 0.668886065483093
"1982-10" 0.585159540176392
"1982-11" 0.46423751115799
"1982-12" 0.356661945581436
"1983-1" 0.356269359588623
"1983-2" 0.357027411460876
"1983-3" 0.35543954372406
"1983-4" 0.355436056852341
"1983-5" 0.523201107978821
"1983-6" 0.537366092205048
"1983-7" 0.639636158943176
"1983-8" 0.655709385871887
"1983-9" 0.666763424873352
"1983-10" 0.58672684431076
"1983-11" 0.438032954931259
"1983-12" 0.359338939189911
"1984-1" 0.358439803123474
"1984-2" 0.356070399284363
"1984-3" 0.39494451880455
"1984-4" 0.439357340335846
"1984-5" 0.509755611419678
"1984-6" 0.620566964149475
"1984-7" 0.640121102333069
"1984-8" 0.637413084506989
"1984-9" 0.638527274131775
"1984-10" 0.517626762390137
"1984-11" 0.514466404914856
"1984-12" 0.360835909843445
"1985-1" 0.36906623840332
"1985-2" 0.363314270973206
"1985-3" 0.420538246631622
"1985-4" 0.446601152420044
"1985-5" 0.546869099140167
"1985-6" 0.576306164264679
"1985-7" 0.644327998161316
"1985-8" 0.647797524929047
"1985-9" 0.649853825569153
"1985-10" 0.56383228302002
"1985-11" 0.481229782104492
"1985-12" 0.407313674688339
"1986-1" 0.359672486782074
"1986-2" 0.406870484352112
"1986-3" 0.427884161472321
"1986-4" 0.410180479288101
"1986-5" 0.463621973991394
"1986-6" 0.623809397220612
"1986-7" 0.61129766702652
"1986-8" 0.626451551914215
"1986-9" 0.659872353076935
"1986-10" 0.608388960361481
"1986-11" 0.419747084379196
"1986-12" 0.360743999481201
"1987-1" 0.359154462814331
"1987-2" 0.357588440179825
"1987-3" 0.395980954170227
"1987-4" 0.493165135383606
"1987-5" 0.495656371116638
"1987-6" 0.63014954328537
"1987-7" 0.628265619277954
"1987-8" 0.633147537708282
"1987-9" 0.658965885639191
"1987-10" 0.606993556022644
"1987-11" 0.405200362205505
"1987-12" 0.360526382923126
"1988-1" 0.390506267547607
"1988-2" 0.366969734430313
"1988-3" 0.472140669822693
"1988-4" 0.437011420726776
"1988-5" 0.510603010654449
"1988-6" 0.583584427833557
"1988-7" 0.628700375556946
"1988-8" 0.643336594104767
"1988-9" 0.656708061695099
"1988-10" 0.602568387985229
"1988-11" 0.426695555448532
"1988-12" 0.392767637968063
"1989-1" 0.364163935184479
"1989-2" 0.358927726745605
"1989-3" 0.357123821973801
"1989-4" 0.417662471532822
"1989-5" 0.526887893676758
"1989-6" 0.565548062324524
"1989-7" 0.644287109375
"1989-8" 0.643129110336304
"1989-9" 0.6692835688591
"1989-10" 0.62225615978241
"1989-11" 0.445165783166885
"1989-12" 0.356811463832855
"1990-1" 0.385852426290512
"1990-2" 0.361391216516495
"1990-3" 0.368329018354416
"1990-4" 0.431510508060455
"1990-5" 0.514596819877625
"1990-6" 0.587523758411407
"1990-7" 0.618169009685516
"1990-8" 0.647262096405029
"1990-9" 0.62960010766983
"1990-10" 0.594387471675873
"1990-11" 0.472624182701111
"1990-12" 0.387300610542297
"1991-1" 0.364755094051361
"1991-2" 0.407228887081146
"1991-3" 0.395317405462265
"1991-4" 0.451248168945312
"1991-5" 0.496964782476425
"1991-6" 0.576803922653198
"1991-7" 0.621307611465454
"1991-8" 0.643617630004883
"1991-9" 0.653266608715057
"1991-10" 0.618788599967957
"1991-11" 0.465327471494675
"1991-12" 0.359556019306183
"1992-1" 0.359484702348709
"1992-2" 0.356021493673325
"1992-3" 0.378154784440994
"1992-4" 0.506184279918671
"1992-5" 0.521897733211517
"1992-6" 0.632466316223145
"1992-7" 0.64618992805481
"1992-8" 0.655651092529297
"1992-9" 0.639905631542206
"1992-10" 0.629426777362823
"1992-11" 0.440599262714386
"1992-12" 0.357849657535553
"1993-1" 0.355710357427597
"1993-2" 0.361072868108749
"1993-3" 0.390246957540512
"1993-4" 0.515263259410858
"1993-5" 0.461523830890656
"1993-6" 0.633142352104187
"1993-7" 0.631945013999939
"1993-8" 0.647730946540833
"1993-9" 0.6539306640625
"1993-10" 0.567669451236725
"1993-11" 0.475938081741333
"1993-12" 0.378508359193802
"1994-1" 0.377760499715805
"1994-2" 0.363144338130951
"1994-3" 0.370252519845963
"1994-4" 0.413640230894089
"1994-5" 0.547553598880768
"1994-6" 0.637444794178009
"1994-7" 0.621951818466187
"1994-8" 0.61721932888031
"1994-9" 0.644999742507935
"1994-10" 0.569618225097656
"1994-11" 0.486506223678589
"1994-12" 0.362258851528168
"1995-1" 0.384340554475784
"1995-2" 0.400595724582672
"1995-3" 0.416519612073898
"1995-4" 0.489029407501221
"1995-5" 0.51171350479126
"1995-6" 0.525587737560272
"1995-7" 0.642276525497437
"1995-8" 0.62498527765274
"1995-9" 0.663441836833954
"1995-10" 0.554715096950531
"1995-11" 0.424827843904495
"1995-12" 0.35676833987236
"1996-1" 0.360687345266342
"1996-2" 0.35616734623909
"1996-3" 0.355315893888474
"1996-4" 0.436271667480469
"1996-5" 0.540516972541809
"1996-6" 0.589674711227417
"1996-7" 0.643170893192291
"1996-8" 0.616617381572723
"1996-9" 0.659783363342285
"1996-10" 0.593361139297485
"1996-11" 0.445991486310959
"1996-12" 0.358142971992493
"1997-1" 0.369971424341202
"1997-2" 0.375640153884888
"1997-3" 0.372532844543457
"1997-4" 0.449093580245972
"1997-5" 0.407879561185837
"1997-6" 0.580292284488678
