,NRMSE,NAE,VR,IoA,Corr
FAPAR,0.9352,0.8638,2.6093,0.4864,0.7639
GPP-SIF,0.6035,0.0911,1.5099,0.8741,0.7887
SSM,0.4075,-0.1025,1.9979,0.7874,0.6712
