,NRMSE,NAE,VR,IoA,Corr
FAPAR,0.1963,0.0499,0.9001,0.8717,0.774
GPP-SIF,0.3862,0.0556,1.0469,0.8515,0.7316
SSM,0.3499,-0.1051,1.2899,0.9152,0.8697
