,NRMSE,NAE,VR,IoA,Corr
FAPAR,0.5329,0.0153,6.7304,0.3758,0.175
GPP-SIF,1.0566,0.0411,1.0893,0.4122,0.047
SSM,0.5871,-0.1015,1.32,0.7329,0.5381
